United Community Banks Price to Free Cash Flow Ratio Historical Data,United Community Banks Price to Free Cash Flow Ratio Historical Data,United Community Banks Price to Free Cash Flow Ratio Historical Data,United Community Banks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.91,,14.67
2024-06-30,25.25,$2.04,12.39
2024-03-31,25.86,$1.95,13.29
2023-12-31,28.49,$1.92,14.83
2023-09-30,24.55,$2.62,9.37
2023-06-30,23.93,$3.47,6.89
2023-03-31,26.69,$4.14,6.44
2022-12-31,31.82,$5.38,5.92
2022-09-30,30.95,$5.35,5.79
2022-06-30,28.04,$5.27,5.32
2022-03-31,32.09,$5.29,6.06
2021-12-31,32.96,$3.83,8.61
2021-09-30,29.92,$4.18,7.16
2021-06-30,28.98,$3.24,8.93
2021-03-31,30.71,$0.32,97.47
2020-12-31,25.47,$0.62,40.91
2020-09-30,15.06,$0.10,145.25
2020-06-30,17.72,$-0.15,0.0
2019-12-31,26.7,$1.75,15.25
2019-09-30,24.37,$1.94,12.54
2019-06-30,24.4,$2.86,8.54
2019-03-31,21.17,$3.55,5.96
2018-12-31,18.11,$4.00,4.53
2018-09-30,23.37,$3.76,6.21
2018-03-31,26.27,$2.59,10.13
2017-12-31,23.27,$2.58,9.02
2017-09-30,23.51,$2.27,10.38
2017-06-30,22.82,$1.89,12.05
2017-03-31,22.65,$2.30,9.87
2016-12-31,24.16,$1.81,13.38
2018-06-30,25.57,$1.34,19.06
2016-09-30,17.1,$1.26,13.54
2016-06-30,14.82,$1.14,13.06
2016-03-31,14.91,$1.22,12.2
2015-12-31,15.67,$1.66,9.47
2015-09-30,16.38,$2.05,7.98
2015-06-30,16.68,$1.77,9.44
2015-03-31,15.05,$1.56,9.63
2014-12-31,15.06,$1.61,9.37
2014-09-30,13.05,$1.54,8.5
2014-06-30,12.96,$2.09,6.21
2014-03-31,15.33,$2.74,5.6
2013-12-31,14.02,$3.19,4.4
2013-09-30,11.84,$3.43,3.46
2013-06-30,9.81,$3.31,2.96
2013-03-31,8.96,$3.46,2.59
2012-12-31,7.46,$3.11,2.4
2012-09-30,6.63,$4.04,1.64
2012-06-30,6.77,$3.67,1.85
2012-03-31,7.7,$2.71,2.85
2011-12-31,5.52,$3.64,1.52
2011-09-30,6.71,$0.52,12.85
2011-06-30,8.34,$4.66,1.79
2011-03-31,9.2,$6.50,1.42
2010-12-31,7.7,$7.24,1.06
2010-09-30,8.85,$4.22,2.1
2010-06-30,15.6,$6.27,2.49
2010-03-31,17.42,$7.49,2.33
2009-12-31,13.39,$10.38,1.29
2009-09-30,19.75,$14.68,1.35
