State Street Price to Free Cash Flow Ratio Historical Data,State Street Price to Free Cash Flow Ratio Historical Data,State Street Price to Free Cash Flow Ratio Historical Data,State Street Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,87.1,,0.0
2024-06-30,73.31,$-17.50,0.0
2024-03-31,76.6,$4.91,15.59
2023-12-31,76.06,$-0.39,0.0
2023-09-30,65.17,$5.99,10.87
2023-06-30,70.5,$17.77,3.97
2023-03-31,72.29,$9.55,7.57
2022-12-31,73.48,$30.32,2.42
2022-09-30,57.14,$23.28,2.45
2022-06-30,57.33,$12.57,4.56
2022-03-31,80.28,$1.89,42.41
2021-12-31,85.14,$-21.01,0.0
2021-09-30,77.09,$-23.44,0.0
2021-06-30,74.37,$-39.23,0.0
2021-03-31,75.45,$-13.59,0.0
2020-12-31,64.96,$8.32,7.81
2020-09-30,52.58,$1.55,34.0
2020-06-30,55.83,$29.37,1.9
2020-03-31,46.42,$26.20,1.77
2019-12-31,68.26,$13.27,5.14
2019-09-30,50.75,$13.65,3.72
2019-06-30,47.65,$15.22,3.13
2019-03-31,55.47,$10.86,5.11
2018-12-31,52.78,$25.41,2.08
2018-09-30,70.11,$35.69,1.96
2018-06-30,77.47,$15.35,5.05
2018-03-31,82.62,$20.51,4.03
2017-12-31,80.53,$16.58,4.86
2017-09-30,78.48,$3.28,23.9
2017-06-30,73.39,$2.14,34.37
2017-03-31,64.84,$6.24,10.39
2016-12-31,63.0,$4.23,14.88
2016-09-30,56.16,$12.40,4.53
2016-06-30,43.25,$18.24,2.37
2016-03-31,46.64,$0.84,55.54
2015-12-31,52.58,$-5.09,0.0
2015-09-30,52.98,$-12.27,0.0
2015-06-30,60.39,$-14.25,0.0
2015-03-31,57.42,$-5.66,0.0
2014-12-31,61.05,$-2.29,0.0
2014-09-30,57.03,$-6.39,0.0
2014-06-30,51.9,$-0.60,0.0
2014-03-31,53.43,$-1.77,0.0
2013-12-31,56.16,$-5.30,0.0
2013-09-30,50.14,$-0.95,0.0
2013-06-30,49.53,$1.43,34.53
2013-03-31,44.71,$2.75,16.25
2012-12-31,35.41,$3.28,10.8
2012-09-30,31.44,$8.56,3.68
2012-06-30,33.26,$8.23,4.04
2012-03-31,33.72,$7.17,4.7
2011-12-31,29.71,$6.20,4.79
2011-09-30,23.6,$-0.52,0.0
2011-06-30,32.91,$-6.94,0.0
2011-03-31,32.67,$1.25,26.04
2010-12-31,33.55,$1.12,29.86
2010-09-30,27.26,$3.56,7.66
2010-03-31,32.66,$0.56,58.03
2009-12-31,31.49,$-9.61,0.0
2009-09-30,38.04,$-2.95,0.0
