GoodRx Holdings Price to Free Cash Flow Ratio Historical Data,GoodRx Holdings Price to Free Cash Flow Ratio Historical Data,GoodRx Holdings Price to Free Cash Flow Ratio Historical Data,GoodRx Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.88,,43.22
2024-06-30,7.8,$0.16,48.99
2024-03-31,7.1,$0.21,33.21
2023-12-31,6.7,$0.20,33.32
2023-09-30,5.63,$0.23,24.2
2023-06-30,5.52,$0.17,32.92
2023-03-31,6.25,$0.22,27.9
2022-12-31,4.66,$0.22,21.01
2022-09-30,4.67,$0.28,16.6
2022-06-30,5.92,$0.34,17.57
2022-03-31,19.33,$0.31,62.33
2021-12-31,32.68,$0.35,92.84
2021-09-30,41.02,$0.22,182.55
2021-06-30,36.01,$0.50,72.56
