City Holding Price to Free Cash Flow Ratio Historical Data,City Holding Price to Free Cash Flow Ratio Historical Data,City Holding Price to Free Cash Flow Ratio Historical Data,City Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,120.96,,13.88
2024-06-30,104.9,$8.72,12.04
2024-03-31,102.16,$8.55,11.95
2023-12-31,107.34,$9.06,11.85
2023-09-30,87.28,$9.05,9.64
2023-06-30,86.32,$9.06,9.52
2023-03-31,86.56,$8.43,10.27
2022-12-31,88.05,$7.66,11.5
2022-09-30,83.31,$7.22,11.53
2022-06-30,74.46,$6.98,10.67
2022-03-31,72.78,$7.15,10.18
2021-12-31,75.11,$6.45,11.65
2021-09-30,71.01,$6.30,11.27
2021-06-30,68.04,$4.85,14.02
2021-03-31,73.43,$5.23,14.04
2020-12-31,61.94,$5.30,11.69
2020-09-30,50.81,$5.35,9.5
2020-06-30,56.95,$6.30,9.05
2020-03-31,57.64,$6.29,9.17
2019-12-31,70.51,$6.18,11.41
2019-09-30,65.11,$5.68,11.47
2019-06-30,64.67,$5.21,12.41
2019-03-31,64.18,$5.06,12.69
2018-12-31,56.49,$4.62,12.24
2018-09-30,63.73,$4.71,13.53
2018-06-30,62.05,$4.32,14.35
2018-03-31,56.18,$4.08,13.78
2017-12-31,54.93,$4.70,11.68
2017-09-30,58.19,$4.47,13.01
2017-06-30,52.95,$4.16,12.74
2017-03-31,51.48,$4.40,11.69
2016-12-31,53.62,$4.07,13.18
2016-09-30,39.55,$3.15,12.55
2016-06-30,35.43,$4.81,7.36
2016-03-31,36.9,$3.08,11.97
2015-12-31,34.9,$2.97,11.76
2015-09-30,37.37,$3.98,9.39
2015-06-30,37.03,$3.11,11.9
2015-03-31,35.05,$3.81,9.21
2014-12-31,34.35,$3.34,10.3
2014-09-30,30.81,$3.17,9.71
2014-06-30,32.7,$3.29,9.95
2014-03-31,32.21,$3.97,8.12
2013-12-31,33.0,$4.41,7.48
2013-09-30,30.53,$4.55,6.71
2013-06-30,27.26,$3.87,7.04
2013-03-31,27.58,$3.30,8.37
2012-12-31,23.93,$3.13,7.65
2012-09-30,24.37,$3.04,8.0
2012-06-30,22.67,$3.32,6.83
2012-03-31,23.14,$3.26,7.1
2011-12-31,22.35,$3.62,6.17
2011-09-30,17.6,$4.61,3.82
2011-06-30,21.32,$3.99,5.34
2011-03-31,22.6,$4.19,5.39
2010-12-31,22.93,$4.04,5.67
2010-09-30,19.21,$2.44,7.88
2010-06-30,17.27,$1.79,9.65
2010-03-31,21.03,$1.81,11.6
2009-12-31,19.6,$1.01,19.34
