S&T Bancorp Price to Free Cash Flow Ratio Historical Data,S&T Bancorp Price to Free Cash Flow Ratio Historical Data,S&T Bancorp Price to Free Cash Flow Ratio Historical Data,S&T Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.33,,9.13
2024-06-30,33.12,$4.53,7.31
2024-03-31,31.49,$4.39,7.17
2023-12-31,32.46,$4.30,7.55
2023-09-30,25.99,$4.20,6.18
2023-06-30,25.83,$4.28,6.03
2023-03-31,29.51,$4.97,5.94
2022-12-31,31.8,$6.07,5.24
2022-09-30,27.04,$6.27,4.32
2022-06-30,25.06,$6.06,4.13
2022-03-31,26.74,$5.32,5.03
2021-12-31,28.24,$5.41,5.22
2021-09-30,26.16,$5.71,4.58
2021-06-30,27.52,$5.30,5.2
2021-03-31,29.21,$5.03,5.81
2020-12-31,21.44,$1.18,18.15
2020-09-30,15.05,$1.07,14.11
2020-06-30,19.7,$1.32,14.98
2020-03-31,22.67,$1.45,15.61
2019-12-31,33.19,$3.85,8.63
2019-09-30,29.88,$3.77,7.92
2019-06-30,30.44,$3.38,9.0
2019-03-31,31.89,$3.31,9.64
2018-12-31,30.32,$3.55,8.53
2018-09-30,34.51,$3.23,10.69
2018-06-30,34.22,$3.56,9.61
2018-03-31,31.43,$3.38,9.29
2017-12-31,31.15,$3.16,9.87
2017-09-30,30.8,$2.98,10.34
2017-06-30,27.76,$2.87,9.67
2017-03-31,26.64,$2.81,9.49
2016-12-31,29.89,$2.68,11.14
2016-09-30,22.05,$1.98,11.15
2016-06-30,18.46,$2.22,8.33
2016-03-31,19.3,$1.78,10.82
2015-12-31,22.92,$1.65,13.92
2015-09-30,24.11,$2.27,10.6
2015-06-30,21.75,$1.70,12.79
2015-03-31,20.72,$2.31,8.97
2014-12-31,21.62,$2.46,8.79
2014-09-30,16.91,$2.47,6.86
2014-06-30,17.79,$2.75,6.47
2014-03-31,16.84,$3.10,5.44
2013-12-31,17.86,$2.83,6.32
2013-09-30,16.98,$2.41,7.03
2013-06-30,13.65,$2.90,4.71
2013-03-31,12.81,$2.75,4.66
2012-12-31,12.39,$2.82,4.39
2012-09-30,11.97,$3.18,3.77
2012-06-30,12.44,$2.94,4.23
2012-03-31,14.5,$2.67,5.43
2011-12-31,12.98,$2.56,5.06
2011-09-30,10.64,$3.17,3.36
2011-06-30,12.14,$2.72,4.46
2011-03-31,13.99,$2.54,5.52
2010-12-31,14.55,$3.08,4.73
2010-09-30,11.13,$1.81,6.15
2010-06-30,12.54,$2.32,5.4
2010-03-31,13.18,$2.40,5.49
2009-12-31,10.64,$1.96,5.42
