Diamondback Energy Price to Free Cash Flow Ratio Historical Data,Diamondback Energy Price to Free Cash Flow Ratio Historical Data,Diamondback Energy Price to Free Cash Flow Ratio Historical Data,Diamondback Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,195.11,,7.96
2024-06-30,197.84,$24.53,8.07
2024-03-31,193.91,$24.16,8.03
2023-12-31,149.18,$25.70,5.8
2023-09-30,145.83,$26.47,5.51
2023-06-30,123.0,$26.32,4.67
2023-03-31,125.77,$27.59,4.56
2022-12-31,124.71,$26.70,4.67
2022-09-30,108.29,$29.01,3.73
2022-06-30,106.38,$24.98,4.26
2022-03-31,117.5,$23.45,5.01
2021-12-31,92.04,$18.55,4.96
2021-09-30,80.43,$21.28,3.78
2021-06-30,79.32,$18.41,4.31
2021-03-31,61.77,$11.18,5.52
2020-12-31,40.47,$11.67,3.47
2020-09-30,24.91,$17.71,1.41
2020-06-30,34.29,$17.78,1.93
2020-03-31,21.27,$18.97,1.12
2019-12-31,74.94,$17.06,4.39
2019-09-30,72.38,$-0.50,0.0
2019-06-30,87.56,$-2.24,0.0
2019-03-31,81.43,$-1.92,0.0
2018-12-31,74.26,$-0.19,0.0
2018-09-30,108.18,$0.24,457.44
2018-06-30,105.18,$0.05,2223.63
2018-03-31,101.05,$0.40,252.55
2017-12-31,100.83,$0.22,468.98
2017-09-30,78.24,$-0.01,0.0
2017-06-30,70.93,$0.27,267.56
2017-03-31,82.83,$-0.29,0.0
2016-12-31,80.71,$-0.50,0.0
2016-09-30,77.1,$-0.43,0.0
2016-06-30,72.85,$0.39,189.11
2016-03-31,61.64,$0.78,79.42
2015-12-31,53.43,$0.09,610.64
2015-09-30,51.59,$-1.44,0.0
2015-06-30,60.2,$-3.21,0.0
2015-03-31,61.37,$-4.10,0.0
2014-12-31,47.74,$-3.52,0.0
2014-09-30,59.72,$-2.78,0.0
2014-06-30,70.92,$-2.81,0.0
2014-03-31,53.76,$-2.70,0.0
2013-12-31,42.23,$-3.41,0.0
2013-09-30,34.06,$-2.53,0.0
