Suburban Propane Partners Price to Free Cash Flow Ratio Historical Data,Suburban Propane Partners Price to Free Cash Flow Ratio Historical Data,Suburban Propane Partners Price to Free Cash Flow Ratio Historical Data,Suburban Propane Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.71,,9.11
2024-06-30,18.63,$2.05,9.07
2024-03-31,19.72,$2.16,9.13
2023-12-31,16.87,$2.56,6.59
2023-09-30,14.96,$2.87,5.22
2023-06-30,13.5,$2.73,4.95
2023-03-31,13.69,$2.94,4.66
2022-12-31,13.29,$3.13,4.24
2022-09-30,12.92,$2.83,4.56
2022-06-30,12.84,$2.86,4.49
2022-03-31,13.29,$2.95,4.5
2021-12-31,11.83,$2.83,4.18
2021-09-30,12.15,$3.18,3.82
2021-06-30,11.9,$3.14,3.79
2021-03-31,11.27,$3.15,3.58
2020-12-31,11.09,$2.83,3.92
2020-09-30,11.93,$2.90,4.12
2020-06-30,10.24,$3.14,3.26
2020-03-31,9.71,$2.92,3.33
2019-12-31,14.6,$3.20,4.57
2019-09-30,15.4,$3.17,4.86
2019-06-30,15.43,$3.11,4.96
2019-03-31,13.88,$3.27,4.24
2018-12-31,11.62,$3.06,3.8
2018-09-30,13.82,$2.97,4.66
2018-06-30,13.44,$2.78,4.83
2018-03-31,12.26,$2.33,5.27
2017-12-31,13.17,$1.91,6.88
2017-09-30,13.86,$2.29,6.06
2017-06-30,12.2,$2.11,5.77
2017-03-31,13.37,$2.15,6.22
2016-12-31,14.49,$2.36,6.14
2016-09-30,15.62,$2.04,7.65
2016-06-30,15.27,$2.61,5.85
2016-03-31,13.28,$3.42,3.88
2015-12-31,10.44,$4.36,2.39
2015-09-30,13.76,$4.84,2.84
2015-06-30,16.31,$5.13,3.18
2015-03-31,17.22,$5.62,3.06
2014-12-31,16.99,$3.89,4.37
2014-09-30,17.17,$3.44,4.99
2014-06-30,17.38,$2.36,7.38
2014-03-31,15.39,$1.33,11.57
2013-12-31,17.04,$2.32,7.36
2013-09-30,16.69,$3.31,5.05
2013-06-30,16.25,$3.87,4.2
2013-03-31,15.3,$4.34,3.52
2012-12-31,13.07,$4.28,3.06
2012-09-30,13.63,$2.44,5.6
2012-06-30,13.33,$2.22,6.02
2012-03-31,13.62,$2.31,5.89
2011-12-31,14.8,$2.67,5.55
2011-09-30,14.17,$3.26,4.35
2011-06-30,15.66,$3.31,4.73
2011-03-31,16.66,$3.74,4.45
2010-12-31,16.31,$4.21,3.88
2010-09-30,15.58,$3.94,3.96
2010-06-30,13.18,$3.78,3.49
2010-03-31,13.14,$3.68,3.57
2009-12-31,12.8,$6.38,2.01
