Tootsie Roll Industries Price to Free Cash Flow Ratio Historical Data,Tootsie Roll Industries Price to Free Cash Flow Ratio Historical Data,Tootsie Roll Industries Price to Free Cash Flow Ratio Historical Data,Tootsie Roll Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.35,,25.99
2024-06-30,30.48,$1.17,26.1
2024-03-31,31.83,$1.35,23.53
2023-12-31,31.98,$0.94,33.92
2023-09-30,28.57,$0.77,37.13
2023-06-30,33.88,$0.58,58.58
2023-03-31,42.87,$0.35,124.07
2022-12-31,40.55,$0.67,60.78
2022-09-30,31.55,$0.78,40.2
2022-06-30,33.51,$0.62,53.9
2022-03-31,33.05,$0.12,272.68
2021-12-31,34.16,$0.56,60.75
2021-09-30,28.54,$0.07,433.1
2021-06-30,31.81,$-0.17,0.0
2020-12-31,27.7,$0.76,36.51
2020-09-30,28.65,$1.07,26.82
2020-06-30,31.78,$1.11,28.52
2020-03-31,33.26,$1.48,22.54
2019-12-31,31.49,$1.27,24.82
2021-03-31,30.99,$0.45,69.39
2019-09-30,34.08,$0.93,36.56
2019-06-30,33.89,$1.04,32.59
2019-03-31,34.09,$1.01,33.81
2018-12-31,30.5,$0.96,31.88
2018-09-30,26.56,$0.57,46.8
2018-06-30,28.01,$0.26,108.61
2018-03-31,26.66,$0.27,97.19
2017-12-31,31.9,$0.34,94.16
2017-09-30,33.22,$0.70,47.29
2017-06-30,30.4,$0.92,33.15
2017-03-31,32.5,$1.05,30.85
2016-12-31,33.5,$1.05,31.99
2016-09-30,30.89,$1.15,26.82
2016-06-30,32.32,$0.89,36.27
2016-03-31,29.23,$0.97,30.15
2015-12-31,25.59,$0.94,27.13
2015-09-30,25.2,$1.15,21.86
2015-06-30,26.03,$1.07,24.32
2015-03-31,27.25,$1.01,26.94
2014-12-31,23.84,$0.96,24.83
2014-09-30,21.65,$0.76,28.61
2014-06-30,22.78,$0.85,26.84
2014-03-31,23.1,$0.77,29.97
2013-12-31,24.31,$1.14,21.31
2013-09-30,22.9,$1.32,17.4
2013-06-30,23.62,$1.20,19.63
2013-03-31,22.17,$1.27,17.5
2012-12-31,19.16,$1.11,17.32
2012-09-30,19.6,$0.95,20.67
2012-06-30,17.28,$0.90,19.15
2012-03-31,16.53,$0.61,27.0
2011-12-31,17.02,$0.40,42.47
2011-09-30,17.29,$0.51,33.98
2011-06-30,20.92,$0.70,30.08
2011-03-31,20.23,$0.85,23.91
2010-12-31,19.94,$0.81,24.54
2010-09-30,17.09,$0.68,25.02
2010-06-30,16.2,$0.73,22.28
2010-03-31,18.46,$0.65,28.4
2009-12-31,18.65,$0.64,28.98
