Royalty Pharma Price to Free Cash Flow Ratio Historical Data,Royalty Pharma Price to Free Cash Flow Ratio Historical Data,Royalty Pharma Price to Free Cash Flow Ratio Historical Data,Royalty Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.05,,6.69
2024-06-30,26.37,$4.19,6.29
2024-03-31,30.37,$5.21,5.83
2023-12-31,28.09,$4.96,5.67
2023-09-30,27.14,$6.54,4.15
2023-06-30,30.74,$5.05,6.09
2023-03-31,36.03,$4.80,7.51
2022-12-31,39.52,$4.85,8.15
2022-09-30,40.18,$5.81,6.91
2022-06-30,41.86,$5.66,7.39
2022-03-31,38.61,$5.58,6.91
2021-12-31,39.3,$4.86,8.08
2021-09-30,35.5,$-1.45,0.0
2021-06-30,40.09,$-0.87,0.0
2021-03-31,42.48,$-0.36,0.0
