Fastly Price to Free Cash Flow Ratio Historical Data,Fastly Price to Free Cash Flow Ratio Historical Data,Fastly Price to Free Cash Flow Ratio Historical Data,Fastly Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.2,,0.0
2024-06-30,7.37,$-0.31,0.0
2024-03-31,12.97,$-0.10,0.0
2023-12-31,17.8,$-0.25,0.0
2023-09-30,19.17,$-0.42,0.0
2023-06-30,15.77,$-0.61,0.0
2023-03-31,17.76,$-1.20,0.0
2022-12-31,8.19,$-1.23,0.0
2022-09-30,9.16,$-1.06,0.0
2022-06-30,11.61,$-1.01,0.0
2022-03-31,17.38,$-0.73,0.0
2021-12-31,35.45,$-0.74,0.0
2021-09-30,40.44,$-0.99,0.0
2021-06-30,59.6,$-0.59,0.0
2021-03-31,67.28,$-0.51,0.0
2020-12-31,87.37,$-0.53,0.0
2020-09-30,93.68,$-0.45,0.0
2020-06-30,85.13,$-0.63,0.0
2020-03-31,18.98,$-0.94,0.0
