TIM S.A Price to Free Cash Flow Ratio Historical Data,TIM S.A Price to Free Cash Flow Ratio Historical Data,TIM S.A Price to Free Cash Flow Ratio Historical Data,TIM S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.54,,4.7
2024-06-30,14.32,$3.31,4.33
2024-03-31,17.75,$3.12,5.68
2023-12-31,18.47,$3.28,5.64
2023-09-30,14.9,$2.85,5.23
2023-06-30,15.29,$2.63,5.81
2023-03-31,12.36,$2.24,5.53
2022-12-31,11.65,$1.88,6.2
2022-09-30,11.18,$1.20,9.33
2022-06-30,12.15,$1.11,10.98
2022-03-31,14.34,$1.52,9.46
2021-12-31,11.51,$1.84,6.27
2021-09-30,10.45,$1.24,8.42
2021-06-30,11.21,$2.21,5.07
2021-03-31,10.94,$2.35,4.66
2020-12-31,13.42,$1.92,7.01
2020-09-30,10.84,$3.38,3.21
2020-06-30,12.17,$2.27,5.35
2020-03-31,11.44,$1.68,6.81
2019-12-31,17.97,$1.68,10.69
2019-09-30,13.51,$1.39,9.68
2019-06-30,13.91,$1.22,11.36
2019-03-31,14.01,$1.07,13.04
2018-12-31,14.25,$1.30,10.98
2018-09-30,13.46,$1.46,9.21
2018-06-30,15.66,$1.53,10.27
2018-03-31,20.08,$1.83,10.95
2017-12-31,17.89,$0.89,20.16
2017-09-30,16.94,$0.43,38.94
2017-06-30,13.71,$0.37,37.31
2017-03-31,14.8,$0.26,58.01
2016-12-31,10.93,$0.37,29.6
2016-09-30,11.34,$0.38,29.57
2016-06-30,9.77,$-0.12,0.0
2016-03-31,9.98,$1.67,5.98
2015-12-31,7.65,$1.28,5.98
2015-09-30,8.53,$0.46,18.61
2015-06-30,14.76,$1.28,11.49
2015-03-31,14.96,$-0.10,0.0
2014-12-31,20.04,$-0.34,0.0
2014-09-30,23.64,$1.95,12.1
2014-06-30,26.19,$2.45,10.7
2014-03-31,23.42,$1.94,12.05
2013-12-31,23.67,$1.65,14.35
2013-09-30,21.26,$1.46,14.53
2013-06-30,16.78,$0.96,17.48
2013-03-31,19.38,$1.37,14.17
2012-12-31,17.55,$1.40,12.51
2012-09-30,17.02,$0.68,24.94
2012-06-30,24.32,$0.80,30.34
2012-03-31,28.35,$0.67,42.12
2011-12-31,22.68,$1.41,16.06
2011-09-30,20.71,$1.78,11.65
2011-06-30,43.25,$1.59,27.27
2011-03-31,37.35,$0.56,66.73
2010-12-31,29.21,$1.57,18.56
2010-09-30,28.23,$-1.23,0.0
2010-06-30,23.22,$-1.07,0.0
2010-03-31,23.37,$0.24,95.57
2009-12-31,25.01,0,0.0
