Altice USA Price to Free Cash Flow Ratio Historical Data,Altice USA Price to Free Cash Flow Ratio Historical Data,Altice USA Price to Free Cash Flow Ratio Historical Data,Altice USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.39,,3.15
2024-06-30,2.04,$0.76,2.69
2024-03-31,2.61,$0.77,3.39
2023-12-31,3.25,$0.27,12.16
2023-09-30,3.27,$-0.36,0.0
2023-06-30,3.02,$-0.32,0.0
2023-03-31,3.42,$0.18,19.5
2022-12-31,4.6,$1.00,4.61
2022-09-30,5.83,$1.77,3.29
2022-06-30,9.25,$2.36,3.93
2022-03-31,12.48,$2.84,4.4
2021-12-31,16.18,$3.51,4.61
2021-09-30,20.72,$3.62,5.72
2021-06-30,34.14,$3.60,9.48
2021-03-31,32.53,$3.92,8.3
2020-12-31,37.87,$3.27,11.6
2020-09-30,26.0,$3.12,8.34
2020-06-30,22.54,$2.56,8.82
2020-03-31,22.29,$2.05,10.89
2019-12-31,27.34,$1.81,15.11
2019-09-30,28.68,$1.81,15.81
2019-06-30,24.35,$1.90,12.8
2019-03-31,21.48,$1.86,11.58
2018-12-31,16.52,$1.86,8.9
2018-09-30,18.14,$2.07,8.77
2018-06-30,17.06,$1.92,8.87
2018-03-31,16.57,$1.78,9.29
