Honda Price to Free Cash Flow Ratio Historical Data,Honda Price to Free Cash Flow Ratio Historical Data,Honda Price to Free Cash Flow Ratio Historical Data,Honda Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.98,,102.04
2024-06-30,32.24,$0.30,106.19
2024-03-31,37.23,$1.74,21.35
2023-12-31,30.7,$2.49,12.32
2023-09-30,33.42,$3.65,9.16
2023-06-30,29.61,$5.48,5.4
2023-03-31,25.88,$7.29,3.55
2022-12-31,21.97,$9.14,2.4
2022-09-30,20.75,$11.24,1.85
2022-06-30,22.77,$10.17,2.24
2022-03-31,26.64,$7.44,3.58
2021-12-31,26.37,$4.71,5.6
2021-09-30,28.43,$3.02,9.41
2021-06-30,29.37,$4.60,6.38
2021-03-31,27.57,$4.14,6.66
2020-12-31,25.37,$4.73,5.36
2020-09-30,21.11,$3.88,5.45
2020-06-30,22.59,$1.92,11.76
2020-03-31,19.77,$3.29,6.01
2019-12-31,24.65,$2.83,8.71
2019-09-30,22.5,$2.37,9.5
2019-06-30,22.08,$2.07,10.67
2019-03-31,23.03,$1.92,12.0
2018-12-31,22.21,$2.36,9.39
2018-09-30,25.01,$2.57,9.72
2018-06-30,24.14,$3.24,7.45
2018-03-31,28.41,$2.95,9.64
2017-12-31,27.68,$3.24,8.54
2017-09-30,23.85,$2.45,9.73
2017-06-30,21.94,$1.99,11.03
2017-03-31,24.05,$2.11,11.37
2016-12-31,23.03,$1.81,12.71
2016-09-30,22.66,$2.75,8.25
2016-06-30,19.71,$2.73,7.21
2016-03-31,21.09,$3.60,5.86
2015-12-31,24.44,$4.85,5.04
2015-09-30,22.75,$4.17,5.45
2015-06-30,24.37,$3.20,7.61
2015-03-31,24.64,$2.05,12.04
2014-12-31,22.2,$-0.59,0.0
2014-09-30,25.79,$-0.77,0.0
2014-06-30,26.32,$-0.18,0.0
2014-03-31,26.58,$-0.15,0.0
2013-12-31,31.1,$0.11,278.95
2013-09-30,28.55,$0.44,64.94
2013-06-30,27.76,$-2.35,0.0
2013-03-31,28.36,$-1.05,0.0
2012-12-31,27.26,$0.92,29.62
2012-09-30,22.69,$-1.10,0.0
2012-06-30,25.28,$3.54,7.14
2012-03-31,27.84,$2.66,10.48
2011-12-31,22.04,$-0.81,0.0
2011-09-30,20.91,$2.87,7.29
2011-06-30,27.53,$1.22,22.53
2011-03-31,26.62,$2.60,10.25
2010-12-31,27.91,$3.48,8.03
2010-09-30,25.04,$4.16,6.02
2010-06-30,20.15,$6.10,3.3
2010-03-31,24.63,$5.22,4.71
2009-12-31,23.58,$1.22,19.39
