Wolverine World Wide Price to Free Cash Flow Ratio Historical Data,Wolverine World Wide Price to Free Cash Flow Ratio Historical Data,Wolverine World Wide Price to Free Cash Flow Ratio Historical Data,Wolverine World Wide Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.94,,23.56
2024-06-30,13.34,$0.72,18.56
2024-03-31,11.06,$2.15,5.15
2023-12-31,8.69,$1.35,6.44
2023-09-30,7.79,$3.66,2.13
2023-06-30,14.03,$1.00,14.03
2023-03-31,16.18,$-2.81,0.0
2022-12-31,10.31,$-2.70,0.0
2022-09-30,14.38,$-5.77,0.0
2022-06-30,18.72,$-3.01,0.0
2022-03-31,20.84,$-0.68,0.0
2021-12-31,26.5,$0.83,31.9
2021-09-30,27.35,$2.19,12.52
2021-06-30,30.73,$3.83,8.03
2021-03-31,34.91,$4.96,7.04
2020-12-31,28.39,$3.69,7.7
2020-09-30,23.4,$3.90,6.0
2020-06-30,21.48,$2.72,7.89
2020-03-31,13.66,$2.71,5.04
2019-12-31,30.11,$2.16,13.95
2019-09-30,25.15,$1.16,21.61
2019-06-30,24.42,$0.04,661.79
2019-03-31,31.57,$-0.05,0.0
2018-12-31,28.1,$0.80,35.21
2018-09-30,34.4,$1.05,32.74
2018-06-30,30.57,$1.47,20.79
2018-03-31,25.35,$1.54,16.41
2017-12-31,27.89,$1.79,15.62
2017-09-30,25.19,$1.60,15.75
2017-06-30,24.41,$2.95,8.26
2017-03-31,21.71,$2.99,7.26
2016-12-31,19.04,$2.51,7.6
2016-09-30,19.92,$2.01,9.9
2016-06-30,17.53,$1.38,12.73
2016-03-31,15.84,$1.26,12.59
2015-12-31,14.33,$1.69,8.47
2015-09-30,18.49,$2.71,6.82
2015-06-30,24.26,$3.09,7.85
2015-03-31,28.44,$2.97,9.57
2014-12-31,25.01,$2.84,8.8
2014-09-30,21.22,$1.59,13.37
2014-06-30,22.02,$1.42,15.54
2014-03-31,24.07,$1.97,12.22
2013-12-31,28.57,$1.65,17.29
2013-09-30,24.45,$1.79,13.68
2013-06-30,22.91,$1.45,15.85
2013-03-31,18.57,$0.55,33.63
2012-12-31,17.1,$0.79,21.64
2012-09-30,18.46,$1.15,16.03
2012-06-30,16.09,$1.02,15.85
2012-03-31,15.38,$0.80,19.24
2011-12-31,14.7,$0.61,24.08
2011-09-30,13.67,$0.02,591.63
2011-06-30,17.1,$0.20,86.2
2011-03-31,15.23,$0.12,126.15
2010-12-31,12.98,$0.55,23.82
2010-09-30,11.77,$0.94,12.57
2010-06-30,10.19,$1.28,7.98
2010-03-31,11.74,$1.60,7.35
2009-12-31,10.91,$1.60,6.81
