Macy's Price to Free Cash Flow Ratio Historical Data,Macy's Price to Free Cash Flow Ratio Historical Data,Macy's Price to Free Cash Flow Ratio Historical Data,Macy's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.29,,10.74
2024-07-31,17.08,$1.52,11.26
2024-04-30,18.05,$1.69,10.7
2024-01-31,17.77,$1.43,12.42
2023-10-31,11.73,$0.97,12.1
2023-07-31,15.75,$1.42,11.13
2023-04-30,15.35,$0.82,18.68
2023-01-31,22.01,$1.63,13.54
2022-10-31,19.28,$4.09,4.72
2022-07-31,16.17,$4.10,3.94
2022-04-30,21.98,$6.20,3.55
2022-01-31,23.13,$7.26,3.19
2021-10-31,23.78,$3.11,7.64
2021-07-31,15.16,$4.22,3.6
2021-04-30,14.79,$3.19,4.63
2021-01-31,13.41,$0.95,14.1
2020-10-31,5.54,$3.53,1.57
2020-07-31,5.4,$1.49,3.64
2020-04-30,5.23,$1.93,2.71
2020-01-31,13.53,$2.04,6.63
2019-10-31,12.56,$2.68,4.68
2019-07-31,18.42,$3.09,5.97
2019-04-30,18.76,$2.74,6.85
2019-01-31,20.63,$4.10,5.03
2018-10-31,26.57,$4.70,5.66
2018-07-31,30.46,$4.96,6.14
2018-04-30,23.58,$5.30,4.45
2018-01-31,19.45,$5.30,3.67
2017-10-31,13.85,$5.98,2.32
2017-07-31,17.23,$5.49,3.14
2017-04-30,20.85,$6.18,3.37
2017-01-31,20.82,$5.03,4.14
2016-10-31,25.49,$3.89,6.55
2016-07-31,24.76,$4.14,5.99
2016-04-30,27.03,$3.11,8.68
2016-01-31,27.37,$3.23,8.48
2015-10-31,34.19,$3.08,11.1
2015-07-31,46.04,$3.85,11.97
2015-04-30,42.86,$4.52,9.49
2015-01-31,42.15,$5.01,8.41
2014-10-31,37.96,$4.48,8.48
2014-07-31,37.74,$4.66,8.09
2014-04-30,37.3,$4.21,8.87
2014-01-31,34.41,$4.72,7.28
2013-10-31,29.68,$3.20,9.27
2013-07-31,30.94,$3.49,8.87
2013-04-30,28.4,$3.46,8.21
2013-01-31,25.04,$3.16,7.92
2012-10-31,24.0,$3.91,6.14
2012-07-31,22.48,$3.33,6.74
2012-04-30,25.59,$3.77,6.79
2012-01-31,20.91,$3.54,5.91
2011-10-31,18.89,$2.62,7.21
2011-07-31,17.79,$2.92,6.1
2011-04-30,14.68,$2.95,4.98
2011-01-31,14.18,$2.52,5.64
2010-10-31,14.47,$3.16,4.58
2010-07-31,11.38,$3.01,3.78
2010-04-30,14.12,$2.87,4.92
2010-01-31,9.67,$3.19,3.03
2009-10-31,10.64,$2.66,4.0
