Coca Cola Femsa S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Coca Cola Femsa S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Coca Cola Femsa S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Coca Cola Femsa S.A.B De C.V Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,86.84,,48.78
2024-03-31,94.52,$1.78,53.1
2023-12-31,92.03,$6.44,14.3
2023-09-30,74.66,0,0.0
2023-06-30,79.3,0,0.0
2022-12-31,63.38,$4.66,13.61
2022-09-30,53.34,$5.48,9.73
2022-06-30,50.5,$5.48,9.21
2022-03-31,49.0,$5.48,8.94
2021-12-31,48.85,$5.48,8.91
2021-09-30,49.06,$6.17,7.95
2021-06-30,46.15,$6.17,7.48
2021-03-31,39.24,$3.09,12.68
2020-12-31,39.15,$6.17,6.35
2023-03-31,75.13,0,0.0
2020-09-30,33.5,$0.79,42.58
2020-06-30,36.08,$8.45,4.27
2020-03-31,32.28,$5.37,6.01
2019-12-31,48.64,$5.37,9.05
2019-09-30,47.84,$9.44,5.07
2019-06-30,49.04,$4.86,10.1
2019-03-31,52.08,$4.86,10.73
2018-12-31,48.01,$4.86,9.89
2018-09-30,47.64,$5.47,8.71
2018-06-30,43.89,$5.47,8.02
2018-03-31,50.98,$5.47,9.32
2017-12-31,53.43,$5.47,9.77
2017-09-30,58.43,$5.25,11.12
2017-06-30,64.14,$5.25,12.21
2017-03-31,53.67,$5.25,10.22
2016-12-31,47.56,$5.25,9.05
2016-09-30,55.52,$3.61,15.37
2016-06-30,61.41,$3.61,17.0
2016-03-31,60.82,$3.61,16.84
2015-12-31,51.86,$3.61,14.36
2015-09-30,50.2,$7.98,6.29
2015-06-30,57.49,$7.98,7.2
2015-03-31,57.07,$7.98,7.15
2014-12-31,61.83,$7.98,7.75
2014-09-30,71.26,$-4.68,0.0
2014-06-30,80.38,$4.30,18.7
2014-03-31,73.89,$0.73,101.75
2013-12-31,85.27,$2.17,39.27
2012-12-31,102.69,$8.98,11.43
2012-09-30,88.88,$3.12,28.53
2012-06-30,90.18,$6.69,13.48
2012-03-31,71.7,$5.24,13.68
2011-12-31,64.45,$3.12,20.69
2011-09-30,60.07,$6.28,9.57
2011-06-30,62.97,$3.34,18.84
2011-03-31,50.83,$6.28,8.1
2010-12-31,54.42,$6.28,8.67
2010-09-30,51.64,$0.68,75.8
2010-06-30,41.32,$4.53,9.13
2010-03-31,43.15,$4.87,8.86
2009-12-31,42.68,$4.87,8.77
2009-09-30,31.24,$4.19,7.46
2009-06-30,26.05,$3.28,7.95
2009-03-31,21.79,0,0.0
