Alexander & Baldwin Holdings Price to Free Cash Flow Ratio Historical Data,Alexander & Baldwin Holdings Price to Free Cash Flow Ratio Historical Data,Alexander & Baldwin Holdings Price to Free Cash Flow Ratio Historical Data,Alexander & Baldwin Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.57,,18.22
2024-06-30,16.77,$1.02,16.45
2024-03-31,16.07,$0.65,24.54
2023-12-31,18.3,$0.54,33.9
2023-09-30,15.91,$0.52,30.39
2023-06-30,17.45,$0.18,97.41
2023-03-31,17.55,$1.16,15.13
2022-12-31,17.17,$1.17,14.64
2022-09-30,15.02,$0.95,15.78
2022-06-30,16.06,$1.41,11.39
2022-03-31,20.51,$0.95,21.53
2021-12-31,22.02,$1.10,19.98
2021-09-30,20.42,$1.39,14.71
2021-06-30,15.83,$1.16,13.64
2021-03-31,14.39,$0.87,16.62
2020-12-31,14.6,$0.90,16.16
2020-09-30,9.44,$1.33,7.08
2020-06-30,10.27,$1.32,7.79
2020-03-31,9.45,$-0.60,0.0
2019-12-31,17.46,$-1.29,0.0
2019-09-30,20.25,$1.12,18.0
2019-06-30,18.93,$0.91,20.75
2019-03-31,20.7,$2.79,7.41
2018-12-31,14.86,$2.63,5.66
2018-09-30,18.35,$0.84,21.83
2018-06-30,19.0,$0.01,1610.22
2018-03-31,18.7,$-0.36,0.0
2017-12-31,22.43,$0.06,349.36
2017-09-30,22.97,$0.29,79.03
2017-06-30,20.51,$1.53,13.41
2017-03-31,22.07,$3.41,6.48
2016-12-31,22.24,$1.70,13.1
2016-09-30,19.05,$0.63,30.39
2016-06-30,17.92,$0.81,22.25
2016-03-31,18.18,$0.24,76.63
2015-12-31,17.5,$2.69,6.51
2015-09-30,17.02,$2.00,8.5
2015-06-30,19.53,$2.00,9.76
2015-03-31,21.41,$1.14,18.73
2014-12-31,19.46,$1.23,15.89
2014-09-30,17.83,$1.72,10.37
2014-06-30,20.55,$-3.03,0.0
2014-03-31,21.1,$-3.43,0.0
2013-12-31,20.69,$-4.69,0.0
2013-09-30,17.84,$-4.43,0.0
2013-06-30,19.68,$-0.54,0.0
2013-03-31,17.7,$-1.15,0.0
