National Storage Affiliates Trust Price to Free Cash Flow Ratio Historical Data,National Storage Affiliates Trust Price to Free Cash Flow Ratio Historical Data,National Storage Affiliates Trust Price to Free Cash Flow Ratio Historical Data,National Storage Affiliates Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.72,,3.64
2024-06-30,40.74,$12.29,3.31
2024-03-31,38.18,$8.68,4.4
2023-12-31,39.83,$4.24,9.39
2023-09-30,30.06,$2.87,10.47
2023-06-30,32.47,$0.71,45.58
2023-03-31,38.33,$-0.68,0.0
2022-12-31,32.71,$-0.93,0.0
2022-09-30,37.12,$-8.99,0.0
2022-06-30,44.19,$-10.00,0.0
2022-03-31,54.73,$-11.33,0.0
2021-12-31,59.84,$-12.36,0.0
2021-09-30,45.33,$-8.07,0.0
2021-06-30,43.11,$-4.26,0.0
2021-03-31,33.79,$-2.32,0.0
2020-12-31,30.23,$-4.39,0.0
2020-09-30,27.16,$-1.26,0.0
2020-06-30,23.57,$-1.54,0.0
2020-03-31,24.08,$-4.28,0.0
2019-12-31,27.05,$-3.26,0.0
2019-09-30,26.58,$-3.94,0.0
2019-06-30,22.83,$-5.08,0.0
2019-03-31,22.25,$-4.15,0.0
2018-12-31,20.43,$-3.12,0.0
2018-09-30,19.45,$-6.23,0.0
2018-06-30,23.31,$-7.28,0.0
2018-03-31,18.78,$-6.74,0.0
2017-12-31,20.2,$-5.97,0.0
2017-09-30,17.77,$-0.80,0.0
2017-06-30,16.75,$-5.23,0.0
2017-03-31,17.13,$-5.14,0.0
2016-12-31,15.66,$-5.90,0.0
2016-09-30,14.69,$-8.72,0.0
2016-06-30,14.44,$-3.38,0.0
2016-03-31,14.55,$-3.41,0.0
