Alpha And Omega Semiconductor Price to Free Cash Flow Ratio Historical Data,Alpha And Omega Semiconductor Price to Free Cash Flow Ratio Historical Data,Alpha And Omega Semiconductor Price to Free Cash Flow Ratio Historical Data,Alpha And Omega Semiconductor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.45,,0.0
2024-06-30,37.37,$-0.39,0.0
2024-03-31,22.04,$-1.88,0.0
2023-12-31,26.06,$-3.10,0.0
2023-09-30,29.84,$-2.87,0.0
2023-06-30,32.8,$-3.04,0.0
2023-03-31,26.95,$-2.01,0.0
2022-12-31,28.57,$-0.91,0.0
2022-09-30,30.76,$0.74,41.71
2022-06-30,33.34,$2.87,11.61
2022-03-31,54.65,$3.82,14.31
2021-12-31,60.56,$4.00,15.15
2021-09-30,31.37,$4.13,7.6
2021-06-30,30.39,$2.06,14.78
2021-03-31,32.7,$2.68,12.22
2020-12-31,23.64,$1.78,13.26
2020-09-30,12.82,$0.63,20.37
2020-06-30,10.88,$0.01,0.0
2020-03-31,6.41,$-1.57,0.0
2019-12-31,13.62,$-2.81,0.0
2019-09-30,12.28,$-2.66,0.0
2019-06-30,9.34,$-3.26,0.0
2019-03-31,11.51,$-5.41,0.0
2018-12-31,10.19,$-6.76,0.0
2018-09-30,11.63,$-7.65,0.0
2018-06-30,14.24,$-7.01,0.0
2018-03-31,15.45,$-4.43,0.0
2017-12-31,16.36,$-2.00,0.0
2017-09-30,16.49,$-0.83,0.0
2017-06-30,16.67,$-0.15,0.0
2017-03-31,17.19,$0.16,110.69
2016-12-31,21.27,$0.33,64.26
2016-09-30,21.72,$0.78,27.89
2016-06-30,13.93,$0.81,17.11
2016-03-31,11.85,$0.60,19.92
2015-12-31,9.19,$0.56,16.38
2015-09-30,7.79,$0.13,60.95
2015-06-30,8.74,$0.24,35.82
2015-03-31,8.91,$0.53,16.83
2014-12-31,8.85,$0.96,9.2
2014-09-30,9.4,$1.10,8.53
2014-06-30,9.27,$1.11,8.35
2014-03-31,7.36,$0.35,21.28
2013-12-31,7.71,$0.49,15.83
2013-09-30,8.41,$0.11,77.01
2013-06-30,7.64,$0.42,18.1
2013-03-31,8.88,$0.64,13.88
2012-12-31,8.4,$0.22,38.29
2012-09-30,8.61,$0.41,21.17
2012-06-30,9.15,$-0.13,0.0
2012-03-31,9.62,$-0.23,0.0
2011-12-31,7.31,$-0.35,0.0
2011-09-30,8.21,$-0.78,0.0
2011-06-30,13.25,$-0.48,0.0
2011-03-31,12.69,$0.59,21.38
