Stellar Bancorp Price to Free Cash Flow Ratio Historical Data,Stellar Bancorp Price to Free Cash Flow Ratio Historical Data,Stellar Bancorp Price to Free Cash Flow Ratio Historical Data,Stellar Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.22,,10.32
2024-06-30,22.85,$2.64,8.66
2024-03-31,24.1,$2.87,8.4
2023-12-31,27.39,$3.20,8.57
2023-09-30,20.88,$3.03,6.9
2023-06-30,22.28,$3.54,6.29
2023-03-31,23.83,$3.43,6.95
2022-12-31,28.39,$3.07,9.24
2022-09-30,28.06,$4.04,6.94
2022-06-30,25.4,$4.10,6.2
2022-03-31,29.47,$3.59,8.21
2021-12-31,27.45,$3.68,7.46
2021-09-30,24.86,$3.58,6.95
2021-06-30,25.61,$2.01,12.77
2021-03-31,28.67,$2.21,12.97
2020-12-31,23.71,$1.99,11.93
2020-09-30,15.13,$1.07,14.08
2020-06-30,19.32,$2.17,8.92
2020-03-31,16.27,$2.15,7.57
2019-12-31,28.34,$2.14,13.25
2019-09-30,25.31,$2.24,11.31
2019-06-30,25.45,$2.02,12.62
2019-03-31,29.27,$2.02,14.45
2018-12-31,26.42,$1.92,13.76
2018-09-30,31.93,$3.03,10.53
