Piper Sandler Price to Free Cash Flow Ratio Historical Data,Piper Sandler Price to Free Cash Flow Ratio Historical Data,Piper Sandler Price to Free Cash Flow Ratio Historical Data,Piper Sandler Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,303.62,,10.26
2024-06-30,229.61,$29.58,7.76
2024-03-31,197.45,$15.94,12.39
2023-12-31,172.49,$15.42,11.19
2023-09-30,142.77,$0.43,328.89
2023-06-30,126.45,$1.90,66.46
2023-03-31,134.96,$1.35,99.64
2022-12-31,125.18,$-15.06,0.0
2022-09-30,100.29,$4.03,24.89
2022-06-30,108.02,$13.24,8.16
2022-03-31,124.49,$28.78,4.32
2021-12-31,163.31,$40.49,4.03
2021-09-30,124.24,$27.91,4.45
2021-06-30,115.8,$25.54,4.53
2021-03-31,97.66,$18.26,5.35
2020-12-31,88.02,$51.15,1.72
2020-09-30,63.43,$38.65,1.64
2020-06-30,51.2,$26.87,1.91
2020-03-31,43.62,$18.72,2.33
2019-12-31,67.87,$4.40,15.44
2019-09-30,63.78,$11.97,5.33
2019-06-30,62.43,$18.42,3.39
2019-03-31,60.91,$27.97,2.18
2018-12-31,54.78,$36.80,1.49
2018-09-30,63.18,$8.68,7.28
2018-06-30,63.29,$24.11,2.63
2018-03-31,68.06,$13.31,5.11
2017-12-31,69.08,$15.03,4.6
2017-09-30,47.35,$28.10,1.69
2017-06-30,47.56,$6.70,7.1
2017-03-31,50.39,$17.17,2.94
2016-12-31,57.0,$-1.11,0.0
2016-09-30,37.97,$8.36,4.54
2016-06-30,29.64,$30.63,0.97
2016-03-31,38.96,$31.77,1.23
2015-12-31,31.76,$25.97,1.22
2015-09-30,28.44,$14.94,1.9
2015-06-30,34.31,$-10.50,0.0
2015-03-31,41.24,$-12.12,0.0
2014-12-31,45.67,$-3.82,0.0
2014-09-30,41.07,$24.92,1.65
2014-06-30,40.7,$16.81,2.42
2014-03-31,36.01,$10.96,3.28
2013-12-31,31.09,$2.44,12.76
2013-09-30,26.96,$-21.15,0.0
2013-06-30,24.85,$-3.62,0.0
2013-03-31,26.97,$-12.56,0.0
2012-12-31,25.26,$-13.70,0.0
2012-09-30,20.01,$6.69,2.99
2012-06-30,18.42,$0.09,198.28
2012-03-31,20.93,$-1.83,0.0
2011-12-31,15.88,$12.61,1.26
2011-09-30,14.1,$-9.65,0.0
2011-06-30,22.65,$-6.85,0.0
2011-03-31,32.57,$6.53,4.99
2010-12-31,27.52,$-5.83,0.0
2010-09-30,22.9,$0.46,49.43
2010-06-30,25.33,$-4.85,0.0
2009-12-31,39.79,$-7.47,0.0
2009-09-30,37.52,$-10.98,0.0
