Corcept Therapeutics Price to Free Cash Flow Ratio Historical Data,Corcept Therapeutics Price to Free Cash Flow Ratio Historical Data,Corcept Therapeutics Price to Free Cash Flow Ratio Historical Data,Corcept Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.17,,43.12
2024-06-30,32.49,$1.09,29.7
2024-03-31,25.19,$1.13,22.35
2023-12-31,32.48,$1.14,28.6
2023-09-30,27.25,$1.38,19.73
2023-06-30,22.25,$1.19,18.63
2023-03-31,21.66,$0.95,22.74
2022-12-31,20.31,$1.03,19.64
2022-09-30,25.64,$1.13,22.73
2022-06-30,23.78,$1.24,19.15
2022-03-31,22.52,$1.44,15.64
2021-12-31,19.8,$1.33,14.9
2021-09-30,19.68,$1.22,16.07
2021-06-30,22.0,$1.06,20.72
2021-03-31,23.79,$1.14,20.92
2020-12-31,26.16,$1.21,21.55
2020-09-30,17.41,$1.32,13.16
2020-06-30,16.82,$1.40,11.98
2020-03-31,11.89,$1.18,10.04
2019-12-31,12.1,$1.10,10.98
2019-09-30,14.14,$0.88,16.1
2019-06-30,11.15,$0.92,12.1
2019-03-31,11.74,$0.83,14.13
2018-12-31,13.36,$0.91,14.67
2018-09-30,14.02,$0.95,14.8
2018-06-30,15.72,$0.67,23.38
2018-03-31,16.45,$0.68,24.3
2017-12-31,18.06,$0.49,37.16
2017-09-30,19.3,$0.32,59.79
2017-06-30,11.8,$0.32,37.29
2017-03-31,10.96,$0.20,53.52
2016-12-31,7.26,$0.16,46.33
2016-09-30,6.5,$0.16,41.51
2016-06-30,5.46,$0.09,61.14
2016-03-31,4.68,$0.08,60.94
2015-12-31,4.98,$0.03,171.13
2015-09-30,3.76,$-0.02,0.0
2015-06-30,6.01,$-0.09,0.0
2015-03-31,5.6,$-0.18,0.0
2014-12-31,3.0,$-0.27,0.0
2014-09-30,2.68,$-0.34,0.0
2014-06-30,2.8,$-0.46,0.0
2014-03-31,4.36,$-0.48,0.0
2013-12-31,3.21,$-0.49,0.0
2013-09-30,1.59,$-0.48,0.0
2013-03-31,2.0,$-0.38,0.0
2012-12-31,1.43,$-0.39,0.0
2012-09-30,2.79,$-0.40,0.0
2012-06-30,4.49,$-0.28,0.0
2012-03-31,3.93,$-0.28,0.0
2011-12-31,3.42,$-0.24,0.0
2013-06-30,1.73,$-0.21,0.0
2011-09-30,3.1,$-0.34,0.0
2011-06-30,3.99,$-0.34,0.0
2011-03-31,4.25,$-0.32,0.0
2010-12-31,3.86,$-0.33,0.0
2010-09-30,3.89,$-0.30,0.0
2010-06-30,3.12,$-0.30,0.0
2010-03-31,2.85,$-0.36,0.0
2009-12-31,2.78,$-0.34,0.0
