Paylocity Holding Price to Free Cash Flow Ratio Historical Data,Paylocity Holding Price to Free Cash Flow Ratio Historical Data,Paylocity Holding Price to Free Cash Flow Ratio Historical Data,Paylocity Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,170.28,,31.71
2024-06-30,131.85,$5.37,24.56
2024-03-31,171.86,$5.22,32.9
2023-12-31,164.85,$4.67,35.28
2023-09-30,181.7,$4.54,40.0
2023-06-30,184.53,$3.81,48.39
2023-03-31,198.78,$3.63,54.76
2022-12-31,194.26,$2.77,70.09
2022-09-30,241.58,$2.16,111.83
2022-06-30,174.42,$1.82,96.08
2022-03-31,205.77,$1.68,122.41
2021-12-31,236.16,$1.53,153.96
2021-09-30,280.4,$1.45,192.79
2021-06-30,190.8,$1.54,123.78
2021-03-31,179.83,$1.31,137.79
2020-12-31,205.91,$1.03,199.39
2020-09-30,161.42,$1.17,137.73
2020-06-30,145.89,$1.26,115.71
2020-03-31,88.32,$1.47,60.18
2019-12-31,120.82,$1.40,86.26
2019-09-30,97.58,$1.39,70.0
2019-06-30,93.82,$1.51,62.18
2019-03-31,89.19,$1.21,73.71
2018-12-31,60.21,$1.07,56.22
2018-09-30,80.32,$1.07,75.1
2018-06-30,58.86,$1.10,53.35
2018-03-31,51.23,$1.02,50.07
2017-12-31,47.16,$0.86,54.55
2017-09-30,48.82,$0.61,80.18
2017-06-30,45.18,$0.50,90.45
2017-03-31,38.63,$0.31,124.61
2016-12-31,30.01,$0.15,205.69
2016-09-30,44.46,$0.10,431.65
2016-06-30,43.2,$0.17,258.22
2016-03-31,32.74,$0.15,221.82
2015-12-31,40.55,$0.06,684.97
2015-09-30,29.99,$0.02,1713.71
2015-06-30,35.85,$-0.04,0.0
2015-03-31,28.64,$-0.08,0.0
2014-12-31,26.11,$-0.20,0.0
