Capri Holdings Price to Free Cash Flow Ratio Historical Data,Capri Holdings Price to Free Cash Flow Ratio Historical Data,Capri Holdings Price to Free Cash Flow Ratio Historical Data,Capri Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.64,,29.39
2024-06-30,33.08,$1.45,22.8
2024-03-31,45.3,$1.03,44.17
2023-12-31,50.24,$1.70,29.61
2023-09-30,52.61,$2.82,18.66
2023-06-30,35.89,$3.28,10.94
2023-03-31,47.0,$4.07,11.56
2022-12-31,57.32,$3.07,18.66
2022-09-30,38.44,$1.16,33.2
2022-06-30,41.01,$3.29,12.46
2022-03-31,51.39,$3.76,13.68
2021-12-31,64.91,$4.50,14.41
2021-09-30,48.41,$5.15,9.4
2021-06-30,57.19,$4.34,13.16
2021-03-31,51.0,$3.41,14.96
2020-12-31,42.0,$3.38,12.42
2020-09-30,18.0,$3.83,4.7
2020-06-30,15.63,$3.77,4.14
2020-03-31,10.79,$4.22,2.56
2019-12-31,38.15,$2.98,12.79
2019-09-30,33.16,$3.14,10.56
2019-06-30,34.68,$-2.01,0.0
2019-03-31,45.75,$-1.72,0.0
2018-12-31,37.92,$2.51,15.13
2018-09-30,68.56,$0.00,0.0
2018-03-31,62.08,$6.07,10.22
2017-12-31,62.95,$9.20,6.84
2017-09-30,47.85,$6.93,6.9
2017-06-30,36.25,$9.37,3.87
2017-03-31,38.11,$8.14,4.68
2018-06-30,66.6,$5.61,11.87
2016-12-31,42.98,$5.56,7.73
2016-09-30,46.79,$5.09,9.2
2016-06-30,49.48,$5.35,9.24
2016-03-31,56.96,$4.66,12.23
2015-12-31,40.06,$3.99,10.04
2015-09-30,42.24,$3.28,12.88
2015-06-30,42.09,$2.59,16.28
2015-03-31,65.75,$2.44,26.98
2014-12-31,75.1,$2.69,27.96
2014-09-30,71.39,$1.85,38.51
2014-06-30,88.65,$2.17,40.87
2014-03-31,93.27,$2.18,42.78
2013-12-31,81.19,$1.91,42.49
2013-09-30,74.52,$1.38,54.18
2013-06-30,62.02,$1.73,35.9
2013-03-31,56.79,$1.20,47.2
2012-12-31,51.03,$0.68,74.56
2012-09-30,53.18,$0.49,108.18
