Rayonier Price to Free Cash Flow Ratio Historical Data,Rayonier Price to Free Cash Flow Ratio Historical Data,Rayonier Price to Free Cash Flow Ratio Historical Data,Rayonier Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.09,,10.95
2024-06-30,28.83,$2.93,9.84
2024-03-31,32.63,$2.96,11.01
2023-12-31,32.53,$0.12,279.43
2023-06-30,29.86,$-1.88,0.0
2023-03-31,31.34,$-1.59,0.0
2022-12-31,30.78,$-1.65,0.0
2022-09-30,27.76,$0.85,32.58
2022-06-30,34.33,$-0.61,0.0
2022-03-31,37.47,$-0.10,0.0
2023-09-30,27.31,$0.79,34.39
2021-12-31,36.54,$0.99,37.08
2021-09-30,32.08,$2.29,14.0
2021-06-30,32.07,$1.53,21.01
2021-03-31,28.57,$0.67,42.57
2020-12-31,25.82,$1.62,15.91
2020-09-30,23.03,$0.61,37.88
2020-06-30,21.38,$0.55,38.88
2020-03-31,20.08,$0.57,35.16
2019-12-31,27.54,$0.01,0.0
2019-09-30,23.51,$0.67,35.19
2019-06-30,25.02,$0.90,27.73
2019-03-31,25.8,$1.33,19.34
2018-12-31,22.46,$1.39,16.12
2018-09-30,27.17,$2.69,10.11
2018-06-30,30.86,$2.80,11.01
2018-03-31,27.86,$2.60,10.72
2017-12-31,24.87,$2.89,8.62
2017-06-30,22.25,$2.39,9.3
2017-03-31,21.72,$3.12,6.97
2016-12-31,20.22,$2.77,7.3
2016-09-30,19.98,$2.10,9.52
2016-06-30,19.57,$1.88,10.39
2016-03-31,18.22,$0.75,24.33
2015-12-31,16.21,$0.93,17.42
2015-09-30,15.94,$0.95,16.81
2015-06-30,18.25,$0.83,21.88
2015-03-31,19.06,$1.28,14.86
2014-12-31,19.57,$1.47,13.35
2014-09-30,21.6,$3.47,6.23
2014-06-30,24.09,$3.61,6.67
2014-03-31,22.87,$3.80,6.02
2013-12-31,20.74,$3.74,5.55
2013-09-30,27.1,$2.01,13.47
2013-06-30,26.74,$2.44,10.95
2013-03-31,28.57,$2.15,13.3
2012-12-31,24.63,$2.25,10.94
2012-09-30,23.08,$2.25,10.26
2012-06-30,20.96,$2.31,9.09
2012-03-31,20.39,$2.18,9.34
2011-12-31,20.46,$2.29,8.92
2011-09-30,16.7,$1.74,9.58
2011-06-30,19.58,$1.62,12.1
2011-03-31,18.52,$3.12,5.93
2010-12-31,15.47,$2.93,5.28
2010-09-30,14.61,$3.64,4.01
2010-06-30,12.7,$3.49,3.64
2010-03-31,12.96,$1.96,6.62
2009-12-31,11.89,$1.80,6.62
2009-09-30,11.4,$2.57,4.43
