Veris Residential Price to Free Cash Flow Ratio Historical Data,Veris Residential Price to Free Cash Flow Ratio Historical Data,Veris Residential Price to Free Cash Flow Ratio Historical Data,Veris Residential Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.39,,13.12
2024-06-30,14.88,$1.33,11.23
2024-03-31,15.04,$0.54,27.68
2023-12-31,15.55,$0.47,32.85
2023-09-30,16.26,$0.51,32.01
2023-06-30,15.77,$0.25,63.78
2023-03-31,14.38,$0.11,132.91
2022-12-31,15.65,$0.26,59.5
2022-09-30,11.17,$0.42,26.32
2022-06-30,13.01,$0.14,95.49
2022-03-31,17.08,$-0.11,0.0
2021-12-31,18.06,$-0.88,0.0
2021-09-30,16.82,$-1.58,0.0
2021-06-30,16.85,$-2.00,0.0
2021-03-31,15.21,$-2.48,0.0
2020-12-31,12.24,$-3.00,0.0
2020-09-30,12.4,$-1.57,0.0
2020-06-30,14.82,$-5.15,0.0
2020-03-31,14.56,$-4.90,0.0
2019-12-31,21.91,$-2.58,0.0
2019-09-30,20.33,$-2.82,0.0
2019-06-30,21.67,$-0.02,0.0
2019-03-31,20.47,$-0.20,0.0
2018-12-31,17.88,$0.42,42.97
2018-09-30,19.22,$2.68,7.16
2018-06-30,18.15,$5.96,3.05
2018-03-31,14.77,$4.97,2.97
2017-12-31,18.89,$-0.84,0.0
2017-09-30,20.59,$-2.99,0.0
2017-06-30,23.4,$-6.39,0.0
2017-03-31,23.1,$-4.42,0.0
2016-12-31,24.76,$-0.31,0.0
2016-09-30,23.09,$-2.21,0.0
2016-06-30,22.78,$-0.35,0.0
2016-03-31,19.7,$0.18,107.06
2015-12-31,19.44,$0.05,397.63
2015-09-30,15.6,$0.84,18.65
2015-06-30,15.11,$1.52,9.94
2015-03-31,15.68,$2.58,6.09
2014-12-31,15.38,$2.55,6.03
2014-09-30,15.3,$2.64,5.79
2014-06-30,17.08,$3.73,4.58
2014-03-31,16.29,$3.02,5.4
2013-12-31,16.6,$2.49,6.66
2013-09-30,16.73,$1.90,8.79
2013-06-30,18.44,$0.15,121.17
2013-03-31,21.21,$-0.37,0.0
2012-12-31,19.02,$0.45,42.15
2012-09-30,19.05,$1.58,12.04
2012-06-30,20.5,$1.76,11.63
2012-03-31,20.01,$1.77,11.27
2011-12-31,18.22,$1.62,11.24
2011-09-30,17.93,$1.42,12.63
2011-06-30,21.79,$1.24,17.55
2011-03-31,22.12,$1.30,17.03
2010-12-31,21.29,$1.41,15.08
2010-09-30,20.77,$1.77,11.71
2010-06-30,18.59,$2.02,9.2
2010-03-31,21.76,$2.32,9.37
2009-12-31,21.06,$2.45,8.58
