Expand Energy Price to Free Cash Flow Ratio Historical Data,Expand Energy Price to Free Cash Flow Ratio Historical Data,Expand Energy Price to Free Cash Flow Ratio Historical Data,Expand Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,87.57,,15.59
2024-06-30,82.19,$5.62,14.63
2024-03-31,88.83,$13.40,6.63
2023-12-31,76.94,$21.57,3.57
2023-09-30,86.23,$20.48,4.21
2023-06-30,83.68,$25.49,3.28
2023-03-31,76.04,$20.15,3.77
2022-12-31,94.37,$18.56,5.08
2022-09-30,94.21,$16.52,5.7
2022-06-30,79.21,$13.50,5.87
2022-03-31,82.73,$14.39,5.75
2021-12-31,60.11,$9.16,6.56
