Virtu Financial Price to Free Cash Flow Ratio Historical Data,Virtu Financial Price to Free Cash Flow Ratio Historical Data,Virtu Financial Price to Free Cash Flow Ratio Historical Data,Virtu Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.84,,5.58
2024-06-30,22.28,$5.88,3.79
2024-03-31,20.14,$1.55,13.0
2023-12-31,19.63,$4.42,4.44
2023-09-30,16.51,$4.74,3.49
2023-06-30,16.13,$5.20,3.1
2023-03-31,17.6,$6.88,2.56
2022-12-31,18.76,$6.15,3.05
2022-09-30,18.89,$8.92,2.12
2022-06-30,21.07,$6.92,3.04
2022-03-31,33.19,$5.89,5.64
2021-12-31,25.53,$9.39,2.72
2021-09-30,21.45,$7.48,2.87
2021-06-30,24.03,$6.98,3.44
2021-03-31,26.79,$11.06,2.42
2020-12-31,21.53,$8.18,2.63
2020-09-30,19.47,$7.79,2.5
2020-06-30,19.79,$8.37,2.36
2020-03-31,17.29,$-7.54,0.0
2019-12-31,13.11,$-1.61,0.0
2019-09-30,13.22,$-6.10,0.0
2019-06-30,17.38,$-4.74,0.0
2018-12-31,20.15,$6.53,3.09
2018-09-30,16.0,$8.75,1.83
2018-06-30,20.54,$6.91,2.97
2018-03-31,25.34,$5.96,4.25
2017-12-31,13.94,$5.91,2.36
2019-03-31,18.75,$0.39,48.05
2017-09-30,12.16,$3.65,3.33
2017-06-30,13.07,$5.48,2.38
2017-03-31,12.41,$5.09,2.44
2016-12-31,11.48,$5.69,2.02
2016-09-30,10.59,$4.79,2.21
2016-06-30,12.56,$3.87,3.24
2016-03-31,15.22,$7.93,1.92
