Bilibili Price to Free Cash Flow Ratio Historical Data,Bilibili Price to Free Cash Flow Ratio Historical Data,Bilibili Price to Free Cash Flow Ratio Historical Data,Bilibili Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.46,,18.44
2024-06-30,15.44,$1.06,14.63
2024-03-31,11.2,$0.03,387.54
2023-12-31,12.17,$0.03,421.11
2023-09-30,13.77,$-0.32,0.0
2023-06-30,15.1,$-1.95,0.0
2023-03-31,23.5,$-1.72,0.0
2022-12-31,23.69,$-1.72,0.0
2022-09-30,15.32,$-1.84,0.0
2022-06-30,25.6,$-1.49,0.0
2022-03-31,25.58,$-1.49,0.0
2021-12-31,46.4,$-1.49,0.0
2021-09-30,66.17,$-0.98,0.0
2021-06-30,121.84,$0.07,1821.23
2021-03-31,107.06,$-0.03,0.0
2020-12-31,85.72,$0.07,1281.32
2020-09-30,41.6,$-0.05,0.0
2020-06-30,46.32,$-0.05,0.0
2020-03-31,23.42,$0.05,468.4
2019-12-31,18.62,$-0.05,0.0
2019-09-30,14.12,$0.28,50.99
2019-06-30,16.27,$0.28,58.76
2019-03-31,18.95,$0.28,68.44
2018-12-31,14.59,$0.28,52.69
