Northwest Natural Gas Price to Free Cash Flow Ratio Historical Data,Northwest Natural Gas Price to Free Cash Flow Ratio Historical Data,Northwest Natural Gas Price to Free Cash Flow Ratio Historical Data,Northwest Natural Gas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.55,,0.0
2024-06-30,36.11,$-4.32,0.0
2024-03-31,37.22,$-3.13,0.0
2023-12-31,38.94,$-1.31,0.0
2023-09-30,38.16,$-1.54,0.0
2023-06-30,43.05,$-2.22,0.0
2023-03-31,47.56,$-4.98,0.0
2022-12-31,47.59,$-5.62,0.0
2022-09-30,43.38,$-5.89,0.0
2022-06-30,52.63,$-5.67,0.0
2022-03-31,50.76,$-4.41,0.0
2021-12-31,47.39,$-4.34,0.0
2021-09-30,44.21,$-3.69,0.0
2021-06-30,50.03,$-3.31,0.0
2021-03-31,50.94,$-1.88,0.0
2020-12-31,42.96,$-4.16,0.0
2020-09-30,41.95,$-2.91,0.0
2020-06-30,51.1,$-2.60,0.0
2020-03-31,56.16,$-3.66,0.0
2019-12-31,66.63,$-1.86,0.0
2019-09-30,64.03,$-2.06,0.0
2019-06-30,61.96,$-1.76,0.0
2019-03-31,58.1,$-1.46,0.0
2018-12-31,53.11,$-1.72,0.0
2018-09-30,58.35,$-1.90,0.0
2018-06-30,55.24,$-1.62,0.0
2018-03-31,49.54,$-2.29,0.0
2017-12-31,50.84,$-0.23,0.0
2017-09-30,54.49,$0.75,73.09
2017-06-30,50.27,$1.52,33.02
2017-03-31,49.25,$2.50,19.68
2016-12-31,49.44,$3.02,16.39
2016-09-30,49.29,$3.21,15.34
2016-06-30,52.77,$3.40,15.53
2016-03-31,43.45,$3.30,13.15
2015-12-31,40.45,$2.42,16.71
2015-09-30,36.29,$1.93,18.76
2015-06-30,33.03,$0.86,38.32
2015-03-31,37.19,$5.14,7.24
2014-12-31,38.35,$0.64,60.12
2014-09-30,32.15,$0.58,55.11
2014-06-30,35.51,$3.56,9.98
2013-12-31,31.56,$1.71,18.5
2013-09-30,30.63,$-2.92,0.0
2013-06-30,30.67,$5.50,5.57
2013-03-31,31.31,$3.10,10.09
2012-12-31,31.27,$0.76,41.25
2014-03-31,32.81,$10.05,3.27
2012-09-30,34.5,$3.30,10.45
2012-06-30,33.05,$4.68,7.06
2012-03-31,31.21,$5.36,5.82
2011-12-31,32.64,$4.97,6.57
2011-09-30,29.75,$2.64,11.27
2011-06-30,30.15,$0.76,39.62
2011-03-31,30.52,$-2.29,0.0
2010-12-31,30.45,$-4.58,0.0
2010-09-30,30.82,$-3.02,0.0
2010-06-30,28.05,$-2.32,0.0
2010-03-31,29.74,$0.29,104.1
2009-12-31,28.47,$3.96,7.19
