Halliburton Price to Free Cash Flow Ratio Historical Data,Halliburton Price to Free Cash Flow Ratio Historical Data,Halliburton Price to Free Cash Flow Ratio Historical Data,Halliburton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,31.09,,10.79
2024-06-30,33.78,$2.88,11.72
2024-03-31,39.42,$2.87,13.74
2023-12-31,35.98,$2.52,14.27
2023-09-30,40.12,$2.28,17.61
2023-06-30,32.55,$2.31,14.1
2023-03-31,31.06,$1.66,18.68
2022-12-31,38.46,$1.58,24.4
2022-09-30,23.98,$1.17,20.5
2022-06-30,30.42,$1.10,27.76
2022-03-31,36.63,$1.16,31.7
2021-12-31,22.04,$1.53,14.36
2021-09-30,20.8,$1.57,13.22
2021-06-30,22.19,$1.43,15.46
2021-03-31,20.56,$1.72,11.97
2020-12-31,18.07,$1.63,11.06
2020-09-30,11.49,$2.06,5.59
2020-06-30,12.34,$2.34,5.28
2020-03-31,6.49,$1.86,3.5
2019-12-31,22.93,$1.26,18.15
2019-09-30,17.51,$0.68,25.89
2019-06-30,20.93,$0.47,44.09
2019-03-31,26.75,$0.90,29.65
2018-12-31,24.26,$1.54,15.77
2018-09-30,36.77,$1.84,19.99
2018-06-30,40.7,$2.29,17.76
2018-03-31,42.24,$1.83,23.12
2017-12-31,43.8,$1.44,30.41
2017-09-30,41.09,$1.80,22.88
2017-06-30,37.95,$1.97,19.23
2017-03-31,43.55,$-2.49,0.0
2016-12-31,47.71,$-2.65,0.0
2016-09-30,39.45,$-3.15,0.0
2016-06-30,39.65,$-4.77,0.0
2016-03-31,31.14,$0.44,70.93
2015-12-31,29.51,$1.04,28.28
2015-09-30,30.51,$1.05,29.07
2015-06-30,37.0,$1.49,24.82
2015-03-31,37.55,$1.14,33.02
2014-12-31,33.52,$1.31,25.56
2014-09-30,54.73,$2.15,25.45
2014-06-30,60.11,$2.69,22.38
2014-03-31,49.74,$2.67,18.63
2013-12-31,42.75,$1.94,21.98
2013-09-30,40.44,$1.70,23.76
2013-06-30,34.95,$1.16,30.17
2013-03-31,33.75,$0.21,159.65
2012-12-31,28.88,$0.52,55.49
2012-09-30,27.97,$0.10,290.19
2012-06-30,23.51,$0.45,52.57
2012-03-31,27.4,$1.07,25.71
2011-12-31,28.42,$0.97,29.4
2011-09-30,25.07,$0.68,36.91
2011-06-30,41.81,$0.42,99.59
2011-03-31,40.78,$0.35,116.32
2010-12-31,33.35,$0.41,82.11
2010-09-30,26.95,$0.28,96.03
2010-06-30,19.94,$0.47,42.1
2010-03-31,24.39,$0.66,37.1
2009-12-31,24.29,$0.60,40.42
