American Financial Price to Free Cash Flow Ratio Historical Data,American Financial Price to Free Cash Flow Ratio Historical Data,American Financial Price to Free Cash Flow Ratio Historical Data,American Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,137.93,,8.42
2024-06-30,121.61,$16.38,7.42
2024-03-31,134.17,$10.37,12.94
2023-12-31,113.88,$10.68,10.66
2023-09-30,104.83,$8.26,12.7
2023-06-30,110.88,$0.08,1348.88
2022-12-31,123.2,$12.87,9.57
2022-09-30,108.24,$15.17,7.13
2022-06-30,121.71,$14.42,8.44
2022-03-31,119.91,$18.38,6.52
2021-12-31,110.99,$19.84,5.6
2021-09-30,97.02,$21.47,4.52
2021-06-30,91.48,$23.00,3.98
2021-03-31,74.62,$25.14,2.97
2020-12-31,56.98,$23.86,2.39
2020-09-30,42.26,$27.10,1.56
2020-06-30,39.74,$29.01,1.37
2020-03-31,43.63,$27.45,1.59
2019-12-31,67.98,$26.55,2.56
2019-09-30,65.49,$26.92,2.43
2019-06-30,61.99,$27.51,2.25
2019-03-31,57.1,$27.05,2.11
2018-12-31,53.5,$30.51,1.75
2018-09-30,64.39,$26.29,2.45
2018-03-31,63.83,$24.26,2.63
2017-12-31,61.54,$19.49,3.16
2017-09-30,57.34,$15.58,3.68
2017-06-30,54.9,$11.19,4.91
2017-03-31,51.75,$6.55,7.9
2016-12-31,47.62,$8.60,5.54
2018-06-30,62.07,$8.60,7.22
2016-09-30,39.87,$13.32,2.99
2016-06-30,39.15,$14.00,2.8
2016-03-31,37.11,$15.28,2.43
2015-12-31,37.86,$15.30,2.47
2015-09-30,35.55,$16.51,2.15
2015-06-30,33.43,$15.01,2.23
2015-03-31,32.85,$15.57,2.11
2014-12-31,30.96,$13.16,2.35
2014-09-30,28.91,$11.51,2.51
2014-06-30,29.63,$11.67,2.54
2014-03-31,28.6,$9.88,2.89
2013-12-31,28.49,$8.14,3.5
2013-09-30,26.11,$7.11,3.67
2013-06-30,23.53,$7.77,3.03
2013-03-31,22.7,$8.50,2.67
2012-12-31,18.85,$7.82,2.41
2012-09-30,17.87,$4.42,4.04
2012-06-30,18.41,$2.87,6.41
2012-03-31,18.02,$-1.85,0.0
2011-12-31,17.15,$-0.92,0.0
2011-09-30,14.37,$2.11,6.82
2011-06-30,16.43,$1.43,11.48
2010-12-31,14.72,$7.19,2.05
2010-09-30,13.87,$7.82,1.77
2010-06-30,12.33,$6.91,1.79
2010-03-31,12.78,$6.93,1.85
2009-12-31,11.15,$7.31,1.53
2009-09-30,11.34,$10.66,1.06
2009-06-30,9.54,$12.10,0.79
