SFL Price to Free Cash Flow Ratio Historical Data,SFL Price to Free Cash Flow Ratio Historical Data,SFL Price to Free Cash Flow Ratio Historical Data,SFL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.33,,64.27
2024-06-30,13.54,$0.18,76.8
2024-03-31,12.62,$0.94,13.39
2023-12-31,10.59,$1.86,5.71
2023-09-30,10.23,$0.88,11.58
2023-06-30,8.38,$-0.05,0.0
2023-03-31,8.31,$0.37,22.7
2022-12-31,7.87,$-1.19,0.0
2022-09-30,7.59,$0.06,117.7
2022-06-30,7.74,$-1.17,0.0
2022-03-31,8.12,$-1.91,0.0
2021-12-31,6.37,$-0.75,0.0
2021-09-30,6.41,$0.49,13.15
2021-06-30,5.74,$3.58,1.6
2021-03-31,5.92,$2.07,2.85
2020-09-30,5.31,$2.28,2.33
2020-06-30,6.4,$1.08,5.92
2019-09-30,8.94,$-2.91,0.0
2019-06-30,7.78,$-2.62,0.0
2019-03-31,7.46,$-7.55,0.0
2018-12-31,6.18,$-7.35,0.0
2018-09-30,7.93,$-4.40,0.0
2018-06-30,8.32,$-2.64,0.0
2018-03-31,7.77,$2.30,3.37
2017-12-31,8.23,$0.09,92.02
2017-06-30,6.88,$2.79,2.47
2017-03-31,7.19,$1.66,4.34
2016-12-31,7.04,$0.66,10.71
2016-09-30,6.78,$-0.77,0.0
2016-06-30,6.58,$0.21,31.56
2016-03-31,6.03,$-1.71,0.0
2015-12-31,6.96,$-1.45,0.0
2017-09-30,7.52,$1.35,5.57
2015-09-30,6.64,$-1.75,0.0
2015-06-30,6.49,$-0.22,0.0
2015-03-31,5.74,$-0.70,0.0
2014-12-31,5.33,$-0.54,0.0
2014-09-30,6.19,$-0.82,0.0
2014-06-30,6.66,$-0.28,0.0
2014-03-31,6.3,$0.31,20.43
2013-12-31,5.62,$1.20,4.69
2013-09-30,5.11,$0.63,8.12
2013-06-30,4.85,$0.86,5.61
2013-03-31,5.62,$0.94,6.01
2012-12-31,5.3,$0.23,23.03
2012-09-30,4.89,$1.71,2.87
2012-06-30,4.75,$1.41,3.38
2012-03-31,4.54,$1.39,3.27
2011-12-31,2.71,$0.17,16.21
2011-09-30,3.64,$-2.16,0.0
2011-06-30,4.91,$-1.81,0.0
2011-03-31,5.52,$-2.18,0.0
2010-12-31,5.63,$0.02,227.03
2010-09-30,5.0,$-2.02,0.0
2010-06-30,4.52,$-0.05,0.0
2010-03-31,4.41,$0.27,16.03
2009-12-31,3.33,0,0.0
