Main Street Capital Price to Free Cash Flow Ratio Historical Data,Main Street Capital Price to Free Cash Flow Ratio Historical Data,Main Street Capital Price to Free Cash Flow Ratio Historical Data,Main Street Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.96,,0.0
2024-06-30,49.22,$-0.64,0.0
2024-03-31,45.39,$1.85,24.6
2023-12-31,40.55,$3.48,11.64
2023-09-30,37.22,$1.70,21.87
2023-06-30,35.82,$-2.19,0.0
2023-03-31,34.51,$-2.37,0.0
2022-12-31,31.63,$-3.32,0.0
2022-09-30,28.2,$-8.60,0.0
2022-06-30,31.72,$-6.43,0.0
2022-03-31,34.47,$-7.80,0.0
2021-12-31,35.67,$-7.47,0.0
2021-09-30,32.31,$-2.69,0.0
2021-06-30,31.82,$-3.01,0.0
2021-03-31,29.88,$-2.14,0.0
2020-12-31,24.04,$-0.82,0.0
2020-09-30,21.74,$-1.00,0.0
2020-06-30,22.44,$-0.13,0.0
2020-03-31,14.48,$0.81,17.86
2019-12-31,29.85,$-0.54,0.0
2019-09-30,29.33,$-0.08,0.0
2019-06-30,27.51,$0.62,44.28
2019-03-31,24.37,$0.22,109.22
2018-12-31,21.8,$-1.81,0.0
2018-09-30,24.25,$0.48,50.68
2018-06-30,23.63,$-1.23,0.0
2018-03-31,22.41,$-2.16,0.0
2017-12-31,23.76,$1.29,18.48
2017-09-30,23.28,$-1.89,0.0
2017-06-30,22.21,$0.14,153.25
2017-03-31,21.63,$0.27,81.55
2016-12-31,20.47,$-0.82,0.0
2016-09-30,18.68,$1.57,11.9
2016-06-30,17.59,$-1.38,0.0
2016-03-31,16.36,$-0.74,0.0
2015-12-31,14.89,$-2.68,0.0
2015-09-30,13.29,$-4.96,0.0
2015-06-30,15.63,$-3.29,0.0
2015-03-31,14.75,$-5.98,0.0
2014-12-31,13.72,$-4.39,0.0
2014-09-30,14.0,$-5.41,0.0
2014-06-30,14.81,$-5.20,0.0
2014-03-31,14.42,$-6.29,0.0
2013-12-31,14.15,$-6.57,0.0
2013-09-30,12.66,$-7.00,0.0
2013-06-30,11.45,$-6.63,0.0
2013-03-31,13.06,$-6.14,0.0
2012-12-31,12.11,$-4.59,0.0
2012-09-30,11.54,$-11.27,0.0
2012-06-30,9.31,$-11.12,0.0
2012-03-31,9.31,$-7.39,0.0
2011-12-31,7.89,$-8.02,0.0
2011-09-30,6.46,$1.41,4.58
2011-06-30,6.75,$1.20,5.61
2011-03-31,6.43,$1.22,5.26
2010-12-31,6.17,$1.02,6.06
2010-09-30,5.31,$0.98,5.44
2010-06-30,4.87,$0.97,5.03
2010-03-31,4.97,$0.78,6.35
2009-12-31,4.97,$0.80,6.2
