Nucor Price to Free Cash Flow Ratio Historical Data,Nucor Price to Free Cash Flow Ratio Historical Data,Nucor Price to Free Cash Flow Ratio Historical Data,Nucor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,151.91,,11.38
2024-06-30,158.08,$13.35,11.84
2024-03-31,197.23,$16.11,12.24
2023-12-31,172.98,$19.62,8.82
2023-09-30,154.92,$23.84,6.5
2023-06-30,161.95,$24.94,6.49
2023-03-31,152.09,$26.19,5.81
2022-12-31,129.34,$30.99,4.17
2022-09-30,104.59,$31.07,3.37
2022-06-30,101.58,$26.11,3.89
2022-03-31,143.95,$22.51,6.4
2021-12-31,110.17,$15.77,6.98
2021-09-30,94.64,$8.83,10.71
2021-06-30,91.81,$6.00,15.31
2021-03-31,76.49,$0.18,429.01
2020-12-31,50.43,$0.11,468.71
2020-09-30,42.21,$1.63,25.92
2020-06-30,38.62,$0.73,53.02
2019-12-31,51.38,$4.50,11.43
2019-09-30,46.15,$9.06,5.09
2019-06-30,49.54,$6.37,7.77
2019-03-31,52.08,$8.25,6.32
2018-12-31,45.93,$8.79,5.22
2020-03-31,33.26,$3.44,9.67
2018-09-30,55.82,$4.55,12.27
2018-06-30,54.65,$3.08,17.76
2018-03-31,53.1,$1.36,39.12
2017-12-31,54.91,$1.97,27.87
2017-09-30,48.11,$2.46,19.55
2017-06-30,49.35,$2.14,23.01
2017-03-31,50.6,$2.64,19.14
2016-12-31,50.11,$3.64,13.77
2016-09-30,41.38,$3.73,11.08
2016-06-30,41.03,$4.49,9.14
2016-03-31,38.97,$5.65,6.9
2015-12-31,32.94,$5.69,5.79
2015-09-30,30.41,$5.69,5.35
2015-06-30,35.34,$5.43,6.51
2015-03-31,37.81,$4.07,9.28
2014-12-31,38.71,$2.22,17.42
2014-09-30,42.51,$0.86,49.21
2014-06-30,38.32,$0.16,241.14
2014-03-31,39.03,$-1.55,0.0
2013-12-31,40.92,$-2.00,0.0
2013-09-30,37.33,$-0.19,0.0
2013-06-30,32.74,$-0.55,0.0
2012-12-31,32.09,$0.95,33.61
2012-09-30,28.21,$4.31,6.55
2012-06-30,27.68,$2.21,12.52
2012-03-31,31.06,$2.98,10.43
2011-12-31,28.37,$3.28,8.66
2013-03-31,34.59,$0.56,61.25
2011-09-30,22.48,$2.95,7.63
2011-06-30,28.95,$3.45,8.39
2011-03-31,32.03,$1.78,18.01
2010-12-31,30.27,$1.75,17.32
2010-09-30,26.17,$0.47,56.1
2010-06-30,25.98,$-0.15,0.0
2010-03-31,30.52,$2.70,11.31
2009-12-31,31.13,$2.52,12.35
