Angi Price to Free Cash Flow Ratio Historical Data,Angi Price to Free Cash Flow Ratio Historical Data,Angi Price to Free Cash Flow Ratio Historical Data,Angi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.51,,24.78
2024-06-30,1.92,$0.10,18.95
2024-03-31,2.62,$0.09,28.39
2023-12-31,2.49,$0.09,27.09
2023-09-30,1.98,$0.13,14.72
2023-06-30,3.3,$0.08,41.04
2023-03-31,2.27,$-0.06,0.0
2022-12-31,2.35,$-0.14,0.0
2022-09-30,2.95,$-0.21,0.0
2022-06-30,4.58,$-0.25,0.0
2022-03-31,5.67,$-0.14,0.0
2021-12-31,9.21,$-0.09,0.0
2021-09-30,12.34,$-0.04,0.0
2021-06-30,13.52,$0.12,114.97
2021-03-31,13.0,$0.18,71.9
2020-12-31,13.2,$0.27,48.35
2020-09-30,11.1,$0.30,37.39
2020-06-30,12.15,$0.36,33.76
2020-03-31,5.25,$0.34,15.31
2019-12-31,8.47,$0.28,30.17
2019-09-30,7.09,$0.36,19.94
2019-06-30,13.01,$0.37,35.44
2019-03-31,15.44,$0.36,42.76
2018-12-31,16.07,$0.36,44.1
2018-09-30,23.48,$0.20,119.92
2018-06-30,15.38,$0.11,136.23
2018-03-31,13.58,$0.05,260.65
2017-12-31,10.46,$0.03,300.57
2017-09-30,12.46,$0.11,117.77
2017-06-30,12.79,$0.08,155.98
2017-03-31,5.7,$0.04,156.16
2016-12-31,8.23,$0.08,109.3
2016-09-30,9.91,$0.18,56.08
2016-06-30,6.51,$-0.05,0.0
2016-03-31,8.07,$-0.16,0.0
2015-12-31,9.35,$0.02,502.69
2015-09-30,5.04,$-0.34,0.0
2015-06-30,6.16,$-0.48,0.0
2015-03-31,5.87,$-0.47,0.0
2014-12-31,6.23,$-0.55,0.0
2014-09-30,6.37,$-0.42,0.0
2014-06-30,11.94,$-0.14,0.0
2014-03-31,12.18,$0.02,661.96
2013-12-31,15.15,$0.01,1097.83
2013-09-30,22.49,$-0.09,0.0
2013-06-30,26.56,$-0.23,0.0
2013-03-31,19.76,$-0.54,0.0
2012-12-31,11.99,$-0.75,0.0
2012-09-30,10.58,$-1.39,0.0
