Banner Price to Free Cash Flow Ratio Historical Data,Banner Price to Free Cash Flow Ratio Historical Data,Banner Price to Free Cash Flow Ratio Historical Data,Banner Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.93,,8.95
2024-06-30,49.19,$7.59,6.48
2024-03-31,47.06,$6.50,7.24
2023-12-31,51.95,$7.18,7.24
2023-09-30,40.66,$7.47,5.45
2023-06-30,41.48,$6.63,6.25
2023-03-31,51.13,$7.25,7.06
2022-12-31,59.0,$6.66,8.86
2022-09-30,54.83,$3.50,15.69
2022-06-30,51.8,$2.97,17.42
2022-03-31,53.5,$1.14,47.13
2021-12-31,55.05,$8.67,6.35
2021-09-30,49.76,$9.27,5.37
2021-06-30,48.47,$12.17,3.98
2021-03-31,47.35,$11.07,4.28
2020-12-31,41.0,$3.42,11.99
2020-09-30,28.09,$5.78,4.86
2020-06-30,32.7,$1.64,19.94
2020-03-31,28.08,$0.39,72.43
2019-12-31,46.88,$3.57,13.12
2019-09-30,46.17,$-0.54,0.0
2019-06-30,44.17,$1.67,26.46
2019-03-31,43.87,$7.28,6.03
2018-12-31,43.0,$0.23,184.15
2018-09-30,49.68,$4.25,11.68
2018-06-30,47.4,$3.26,14.54
2018-03-31,43.46,$2.18,19.97
2017-12-31,42.98,$10.14,4.24
2017-09-30,47.59,$5.04,9.44
2017-06-30,42.93,$5.46,7.86
2017-03-31,42.07,$2.28,18.49
2016-12-31,42.03,$-2.72,0.0
2016-09-30,32.77,$-1.39,0.0
2016-06-30,31.71,$-1.86,0.0
2016-03-31,31.17,$0.50,62.53
2015-12-31,34.01,$0.17,195.77
2015-09-30,35.15,$3.44,10.21
2015-06-30,35.14,$4.27,8.23
2015-03-31,33.52,$3.97,8.45
2014-12-31,31.41,$4.75,6.62
2014-09-30,27.84,$4.52,6.17
2014-06-30,28.55,$3.98,7.18
2014-03-31,29.56,$4.23,6.99
2013-12-31,32.15,$4.49,7.16
2013-09-30,27.17,$3.92,6.94
2013-06-30,23.98,$4.45,5.39
2013-03-31,22.5,$4.28,5.26
2012-12-31,21.72,$4.05,5.36
2012-09-30,19.18,$4.93,3.89
2012-06-30,15.47,$4.70,3.29
2012-03-31,15.55,$4.64,3.35
2011-12-31,12.1,$5.83,2.07
2011-09-30,9.01,$10.20,0.88
2011-06-30,12.33,$-5.56,0.0
2011-03-31,11.59,$5.84,1.98
2010-12-31,11.34,$11.62,0.98
2010-09-30,10.5,$12.99,0.81
2010-06-30,9.58,$25.52,0.38
2010-03-31,18.55,$19.81,0.94
2009-12-31,12.9,$24.87,0.52
