Revvity Price to Free Cash Flow Ratio Historical Data,Revvity Price to Free Cash Flow Ratio Historical Data,Revvity Price to Free Cash Flow Ratio Historical Data,Revvity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,122.54,,154.49
2024-03-31,104.86,$0.79,132.2
2023-12-31,109.09,$0.08,1373.93
2023-09-30,110.4,$1.24,89.39
2023-06-30,118.4,$0.00,0.0
2023-03-31,132.76,$2.39,55.45
2022-12-31,139.62,$2.68,52.17
2024-06-30,104.79,$2.16,48.59
2022-09-30,119.75,$6.35,18.84
2022-06-30,141.46,$6.57,21.55
2022-03-31,173.46,$10.22,16.98
2021-12-31,199.82,$9.89,20.2
2021-09-30,172.15,$8.49,20.27
2020-12-31,142.35,$7.43,19.16
2020-09-30,124.44,$-0.72,0.0
2020-06-30,97.19,$3.19,30.5
2020-03-31,74.52,$2.88,25.84
2019-12-31,96.06,$2.80,34.29
2021-06-30,153.33,$6.46,23.72
2019-09-30,84.19,$1.99,42.29
2019-06-30,95.16,$2.18,43.75
2019-03-31,95.11,$2.41,39.52
2018-12-31,77.46,$2.29,33.77
2018-09-30,95.85,$2.17,44.12
2018-06-30,72.1,$1.61,44.72
2018-03-31,74.48,$1.49,49.92
2017-12-31,71.86,$2.26,31.8
2017-09-30,67.71,$2.71,24.96
2017-06-30,66.83,$2.68,24.91
2017-03-31,56.87,$3.29,17.31
2016-12-31,51.02,$3.08,16.56
2016-09-30,54.82,$2.63,20.87
2016-06-30,51.15,$2.70,18.95
2016-03-31,48.19,$2.22,21.71
2015-12-31,52.12,$2.28,22.81
2015-09-30,44.65,$2.10,21.28
2015-06-30,51.07,$2.11,24.15
2015-03-31,49.55,$1.04,47.73
2014-12-31,42.3,$1.31,32.33
2014-09-30,42.1,$1.29,32.64
2014-06-30,45.16,$0.95,47.42
2013-12-31,39.62,$1.51,26.18
2013-09-30,36.21,$1.14,31.8
2013-06-30,31.11,$0.39,78.82
2013-03-31,32.13,$0.86,37.48
2012-12-31,30.26,$0.96,31.66
2012-09-30,28.03,$1.44,19.47
2012-06-30,24.47,$1.72,14.22
2012-03-31,26.17,$0.60,43.59
2011-12-31,18.86,$0.67,28.33
2011-09-30,18.05,$0.05,377.62
2011-06-30,25.22,$0.34,74.96
2010-12-31,24.07,$1.20,20.05
2010-09-30,21.5,$1.80,11.96
2010-06-30,19.14,$2.05,9.35
2010-03-31,22.06,$1.69,13.08
2009-12-31,18.94,$1.58,11.99
2011-03-31,24.55,$0.91,26.96
2009-09-30,17.64,$4.69,3.76
2009-06-30,15.89,$4.96,3.21
