Post Holdings Price to Free Cash Flow Ratio Historical Data,Post Holdings Price to Free Cash Flow Ratio Historical Data,Post Holdings Price to Free Cash Flow Ratio Historical Data,Post Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,115.93,,13.34
2024-06-30,104.16,$8.69,11.99
2024-03-31,106.28,$9.32,11.41
2023-12-31,88.06,$7.39,11.92
2023-09-30,85.74,$6.70,12.81
2023-06-30,86.65,$5.27,16.44
2023-03-31,89.87,$2.40,37.45
2022-12-31,90.26,$2.01,45.01
2022-09-30,81.91,$2.32,35.35
2022-06-30,82.35,$3.22,25.59
2022-03-31,69.26,$6.03,11.48
2021-12-31,112.73,$6.24,18.06
2021-09-30,110.16,$6.38,17.26
2021-06-30,108.47,$6.25,17.36
2021-03-31,105.72,$7.38,14.33
2020-12-31,101.01,$6.46,15.64
2020-09-30,86.0,$5.74,14.98
2020-06-30,87.62,$5.28,16.6
2020-03-31,82.97,$4.22,19.67
2019-12-31,109.1,$3.82,28.57
2019-09-30,105.84,$5.54,19.1
2019-06-30,103.97,$4.55,22.87
2019-03-31,109.4,$5.11,21.4
2018-12-31,89.13,$6.62,13.47
2018-09-30,98.04,$6.50,15.08
2018-06-30,86.02,$7.47,11.51
2018-03-31,75.76,$6.40,11.83
2017-12-31,79.23,$5.57,14.24
2017-09-30,88.27,$2.96,29.82
2017-06-30,77.65,$2.88,26.94
2017-03-31,87.52,$2.30,37.99
2016-12-31,80.39,$3.98,20.2
2016-09-30,77.17,$5.57,13.86
2016-06-30,82.69,$7.51,11.01
2016-03-31,68.77,$6.92,9.93
2015-12-31,61.7,$6.81,9.06
2015-09-30,59.1,$6.46,9.15
2015-06-30,53.93,$5.02,10.74
2015-03-31,46.84,$3.75,12.49
2014-12-31,41.89,$2.23,18.81
2014-09-30,33.18,$1.81,18.32
2014-06-30,50.91,$1.06,47.95
2014-03-31,55.12,$2.14,25.72
2013-12-31,49.27,$2.31,21.36
2013-09-30,40.37,$2.62,15.42
2013-06-30,43.66,$2.33,18.74
2013-03-31,42.93,$1.73,24.78
2012-12-31,34.25,$3.85,8.9
