Hanover Insurance Price to Free Cash Flow Ratio Historical Data,Hanover Insurance Price to Free Cash Flow Ratio Historical Data,Hanover Insurance Price to Free Cash Flow Ratio Historical Data,Hanover Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,154.91,,11.09
2024-06-30,124.72,$13.97,8.93
2024-03-31,134.44,$-8.28,0.0
2023-12-31,119.09,$-4.43,0.0
2023-09-30,108.11,$1.68,64.51
2023-06-30,109.31,$-4.36,0.0
2022-12-31,128.96,$19.52,6.61
2022-09-30,121.57,$36.12,3.37
2022-06-30,138.0,$27.92,4.94
2022-03-31,140.35,$35.69,3.93
2021-12-31,122.35,$34.87,3.51
2023-03-31,123.39,$16.66,7.41
2021-09-30,120.32,$20.36,5.91
2021-06-30,125.27,$20.86,6.01
2021-03-31,118.96,$21.09,5.64
2020-12-31,106.85,$18.18,5.88
2020-09-30,84.65,$18.30,4.63
2020-06-30,91.43,$16.72,5.47
2020-03-31,81.21,$14.59,5.57
2019-12-31,121.69,$14.52,8.38
2019-09-30,117.95,$12.27,9.61
2019-06-30,111.14,$12.03,9.24
2019-03-31,98.43,$12.68,7.76
2018-12-31,95.99,$12.52,7.67
2018-09-30,100.86,$14.33,7.04
2018-06-30,97.3,$14.30,6.8
2018-03-31,95.52,$15.44,6.19
2017-12-31,87.16,$15.95,5.46
2017-09-30,77.76,$16.26,4.78
2017-06-30,70.73,$17.29,4.09
2017-03-31,71.45,$8.52,8.39
2016-12-31,71.8,$9.27,7.74
2016-09-30,59.17,$10.64,5.56
2016-06-30,65.98,$3.41,19.35
2015-12-31,62.75,$9.49,6.61
2015-09-30,59.6,$18.16,3.28
2015-06-30,56.5,$14.43,3.92
2015-03-31,55.08,$19.45,2.83
2014-12-31,53.8,$19.89,2.7
2016-03-31,69.97,$10.64,6.58
2014-09-30,46.06,$13.24,3.48
2014-06-30,47.08,$11.10,4.24
2014-03-31,45.53,$9.89,4.6
2013-12-31,43.97,$8.04,5.47
2013-09-30,40.49,$7.96,5.09
2013-06-30,35.58,$7.89,4.51
2013-03-31,35.88,$7.82,4.59
2012-12-31,27.77,$8.54,3.25
2012-09-30,26.47,$2.66,9.97
2012-06-30,27.58,$3.48,7.93
2012-03-31,28.75,$4.21,6.83
2011-12-31,24.26,$4.48,5.41
2011-09-30,24.43,$8.15,3.0
2011-06-30,25.74,$5.86,4.39
2011-03-31,30.67,$4.59,6.69
2010-12-31,31.3,$1.57,19.93
2010-09-30,31.32,$0.72,43.5
2010-06-30,28.82,$0.42,68.52
2010-03-31,28.73,$0.25,113.96
2009-12-31,29.1,$1.59,18.31
