Workday Price to Free Cash Flow Ratio Historical Data,Workday Price to Free Cash Flow Ratio Historical Data,Workday Price to Free Cash Flow Ratio Historical Data,Workday Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,263.19,,32.64
2024-07-31,227.12,$8.06,28.17
2024-04-30,244.73,$7.48,32.7
2024-01-31,291.07,$7.24,40.2
2023-10-31,211.71,$6.09,34.74
2023-07-31,237.13,$6.00,39.55
2023-04-30,186.14,$4.41,42.2
2023-01-31,181.43,$5.09,35.65
2022-10-31,155.82,$4.79,32.53
2022-07-31,155.1,$4.85,32.0
2022-04-30,206.7,$5.40,38.25
2022-01-31,253.01,$5.46,46.34
2021-10-31,289.98,$5.46,53.15
2021-07-31,234.4,$4.93,47.52
2021-04-30,247.0,$4.98,49.62
2021-01-31,227.53,$4.28,53.13
2020-10-31,210.12,$3.25,64.64
2020-07-31,180.92,$3.24,55.9
2020-04-30,153.9,$2.96,51.91
2020-01-31,184.63,$2.73,67.56
2019-10-31,162.16,$2.58,62.92
2019-07-31,199.98,$1.96,101.96
2019-04-30,205.63,$1.87,109.84
2019-01-31,181.53,$1.86,97.37
2018-10-31,133.02,$1.36,98.17
2018-07-31,124.02,$1.60,77.59
2018-04-30,124.84,$1.46,85.35
2018-01-31,119.89,$1.56,76.84
2017-10-31,110.99,$1.52,72.95
2017-07-31,102.11,$1.23,83.21
2017-04-30,87.4,$1.24,70.5
2017-01-31,83.09,$1.16,71.67
2016-10-31,86.68,$1.05,82.25
2016-07-31,83.34,$0.92,91.01
2016-04-30,74.98,$0.97,77.33
2016-01-31,63.01,$0.66,95.8
2015-10-31,78.97,$0.42,189.56
2015-07-31,84.33,$0.41,204.19
2015-04-30,91.21,$0.27,341.1
2015-01-31,79.46,$-0.01,0.0
2014-10-31,95.48,$0.06,1570.39
2014-07-31,83.84,$-0.07,0.0
2014-04-30,73.07,$-0.11,0.0
2014-01-31,89.54,$-0.08,0.0
2013-10-31,74.87,$-0.25,0.0
2013-07-31,68.29,$-0.22,0.0
