Expros Price to Free Cash Flow Ratio Historical Data,Expros Price to Free Cash Flow Ratio Historical Data,Expros Price to Free Cash Flow Ratio Historical Data,Expros Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.08,,0.0
2024-06-30,22.92,$-0.17,0.0
2024-03-31,19.97,$0.23,87.59
2023-12-31,15.92,$0.17,95.44
2023-09-30,23.23,$0.83,28.12
2023-06-30,17.72,$0.35,51.24
2023-03-31,18.36,$0.21,87.97
2022-12-31,18.13,$0.05,356.89
2022-09-30,12.74,$-0.60,0.0
2022-06-30,11.52,$-0.67,0.0
2022-03-31,17.78,$-0.86,0.0
2021-12-31,14.35,$-0.76,0.0
2021-09-30,17.64,$-1.33,0.0
2021-06-30,18.18,$-0.66,0.0
2021-03-31,21.3,$0.13,165.89
2020-12-31,16.44,$-0.59,0.0
2020-09-30,9.24,$0.16,58.04
2020-06-30,13.38,$0.17,80.65
2020-03-31,15.54,$-0.17,0.0
2019-12-31,31.02,$-0.32,0.0
2019-09-30,28.5,$-1.35,0.0
2019-06-30,32.76,$-1.84,0.0
2019-03-31,37.26,$-2.48,0.0
2018-12-31,31.32,$-2.20,0.0
2018-09-30,52.08,$-1.04,0.0
2018-06-30,46.8,$-0.21,0.0
2018-03-31,32.58,$0.29,111.61
2017-12-31,39.9,$0.45,88.2
2017-09-30,46.32,$-1.44,0.0
2017-06-30,49.17,$-3.81,0.0
2017-03-31,62.07,$-3.75,0.0
2016-12-31,71.83,$-1.67,0.0
2016-09-30,75.38,$3.54,21.29
2016-06-30,84.19,$6.90,12.2
2016-03-31,94.05,$9.43,9.98
2015-12-31,94.3,$9.54,9.89
2015-09-30,85.87,$7.27,11.8
2015-06-30,104.51,$7.34,14.23
2015-03-31,102.97,$6.11,16.87
2014-12-31,90.82,$5.68,15.99
2014-09-30,101.36,$2.18,46.45
2014-06-30,132.35,$5.51,24.03
