Avient Price to Free Cash Flow Ratio Historical Data,Avient Price to Free Cash Flow Ratio Historical Data,Avient Price to Free Cash Flow Ratio Historical Data,Avient Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.28,,28.09
2024-06-30,43.41,$1.83,23.78
2024-03-31,42.91,$0.71,60.37
2023-12-31,40.84,$0.98,41.75
2023-09-30,34.48,$1.08,31.85
2023-06-30,39.66,$1.69,23.53
2023-03-31,39.67,$2.72,14.59
2022-12-31,32.33,$3.24,9.97
2022-09-30,28.8,$2.79,10.32
2022-06-30,37.87,$1.95,19.38
2022-03-31,45.08,$-0.24,0.0
2021-12-31,52.29,$1.12,46.74
2021-09-30,43.13,$-0.08,0.0
2021-06-30,45.54,$0.56,81.74
2020-12-31,36.99,$1.74,21.22
2020-09-30,24.17,$3.29,7.35
2020-06-30,23.79,$3.42,6.96
2020-03-31,17.06,$3.55,4.8
2019-12-31,32.66,$5.21,6.27
2021-03-31,43.59,$1.81,24.12
2019-09-30,28.8,$2.73,10.56
2019-06-30,27.54,$2.24,12.27
2019-03-31,25.54,$1.65,15.47
2018-12-31,24.76,$2.26,10.94
2018-09-30,37.61,$2.26,16.66
2018-06-30,37.03,$2.22,16.69
2018-03-31,36.28,$2.14,16.96
2017-12-31,36.96,$1.50,24.71
2017-09-30,33.88,$1.54,22.07
2017-06-30,32.67,$1.65,19.84
2017-03-31,28.65,$1.73,16.6
2016-12-31,26.81,$1.70,15.82
2016-09-30,28.18,$1.80,15.62
2016-06-30,29.26,$2.77,10.55
2016-03-31,25.04,$1.18,21.28
2015-12-31,26.18,$2.46,10.66
2015-09-30,24.1,$2.23,10.78
2015-03-31,30.5,$1.69,18.0
2014-12-31,30.88,$1.54,20.08
2014-09-30,28.9,$3.71,7.8
2014-06-30,34.16,$3.73,9.15
2014-03-31,29.66,$2.75,10.77
2013-12-31,28.53,$4.32,6.61
2015-06-30,32.07,$0.25,126.85
2013-09-30,24.73,$-0.52,0.0
2013-06-30,19.91,$-0.14,0.0
2013-03-31,19.57,$-0.27,0.0
2012-12-31,16.33,$0.55,29.62
2012-09-30,13.22,$0.93,14.21
2012-06-30,10.88,$0.68,16.12
2012-03-31,11.41,$0.38,30.42
2011-12-31,9.12,$0.20,46.73
2011-09-30,8.42,$0.26,32.58
2011-06-30,12.13,$0.43,28.03
2011-03-31,11.11,$0.58,19.08
2010-12-31,9.73,$1.06,9.22
2010-09-30,9.42,$0.64,14.75
2010-06-30,6.56,$1.11,5.91
2010-03-31,7.98,$1.41,5.65
2009-12-31,5.82,$2.12,2.75
