American Express Price to Free Cash Flow Ratio Historical Data,American Express Price to Free Cash Flow Ratio Historical Data,American Express Price to Free Cash Flow Ratio Historical Data,American Express Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,258.65,,8.08
2024-06-30,230.86,$32.02,7.21
2024-03-31,226.29,$31.22,7.25
2023-12-31,185.6,$23.09,8.04
2023-09-30,147.2,$25.00,5.89
2023-06-30,170.68,$19.74,8.65
2023-03-31,161.02,$20.04,8.03
2022-12-31,143.72,$25.56,5.62
2022-09-30,130.75,$20.80,6.29
2022-06-30,134.34,$20.14,6.67
2022-03-31,180.04,$18.67,9.64
2021-12-31,157.12,$16.58,9.48
2021-09-30,160.5,$14.67,10.94
2021-06-30,157.89,$12.12,13.02
2021-03-31,135.15,$10.70,12.63
2020-12-31,114.78,$5.10,22.49
2020-09-30,94.78,$4.59,20.63
2020-06-30,89.6,$0.75,119.15
2020-03-31,80.12,$1.56,51.52
2019-12-31,116.12,$14.44,8.04
2019-09-30,109.9,$9.20,11.95
2019-06-30,114.34,$16.30,7.01
2019-03-31,100.89,$16.48,6.12
2018-12-31,87.62,$8.87,9.88
2018-09-30,97.53,$16.09,6.06
2018-06-30,89.44,$15.18,5.89
2018-03-31,84.82,$15.23,5.57
2017-12-31,89.99,$14.08,6.39
2017-09-30,81.65,$11.91,6.86
2017-06-30,75.75,$8.88,8.53
2017-03-31,70.85,$6.06,11.69
2016-12-31,66.07,$7.40,8.93
2016-09-30,56.83,$6.68,8.51
2016-06-30,53.92,$8.40,6.42
2016-03-31,53.96,$9.82,5.49
2015-12-31,60.85,$9.34,6.52
2015-09-30,64.62,$8.90,7.26
2015-06-30,67.75,$8.87,7.64
2015-03-31,67.84,$8.28,8.19
2014-12-31,80.3,$9.32,8.62
2014-09-30,75.32,$7.31,10.31
2014-06-30,81.41,$2.13,38.14
2014-03-31,77.06,$3.15,24.44
2013-12-31,77.46,$6.92,11.19
2013-09-30,64.28,$3.58,17.93
2013-06-30,63.43,$8.75,7.25
2013-03-31,57.07,$9.21,6.2
2012-12-31,48.46,$5.28,9.17
2012-09-30,47.77,$11.30,4.23
2012-06-30,48.74,$9.81,4.97
2012-03-31,48.28,$9.73,4.96
2011-12-31,39.22,$7.25,5.41
2011-09-30,37.17,$5.68,6.55
2011-06-30,42.8,$5.98,7.16
2011-03-31,37.15,$5.03,7.39
2010-12-31,35.13,$6.57,5.35
2010-09-30,34.24,$6.56,5.22
2010-06-30,32.34,$6.27,5.16
2010-03-31,33.46,$5.78,5.79
2009-12-31,32.58,$4.80,6.79
