ASML Holding Price to Free Cash Flow Ratio Historical Data,ASML Holding Price to Free Cash Flow Ratio Historical Data,ASML Holding Price to Free Cash Flow Ratio Historical Data,ASML Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,903.87,,111.07
2024-06-30,1020.79,$8.14,125.44
2024-03-31,966.66,$6.64,145.68
2023-12-31,752.64,$9.03,83.36
2023-09-30,583.87,$15.08,38.73
2023-06-30,717.23,$15.21,47.16
2023-03-31,671.69,$21.93,30.63
2022-12-31,537.96,$19.07,28.2
2022-09-30,407.69,$23.56,17.3
2022-06-30,466.0,$26.24,17.76
2022-03-31,645.6,$29.64,21.78
2021-12-31,769.53,$28.67,26.84
2021-09-30,718.36,$22.95,31.31
2021-06-30,666.04,$18.23,36.54
2021-03-31,593.5,$8.92,66.57
2020-12-31,468.87,$9.99,46.93
2020-09-30,353.65,$6.72,52.62
2020-06-30,352.46,$6.60,53.38
2020-03-31,249.32,$6.15,40.54
2019-12-31,282.01,$6.67,42.3
2019-09-30,235.72,$1.99,118.28
2019-06-30,197.3,$3.23,61.05
2019-03-31,176.44,$5.06,34.9
2018-12-31,146.01,$6.92,21.1
2018-09-30,176.41,$5.16,34.2
2018-06-30,185.75,$5.08,36.55
2018-03-31,184.67,$4.51,40.95
2017-12-31,161.66,$3.82,42.29
2017-09-30,159.23,$4.39,36.31
2017-06-30,121.2,$-0.07,0.0
2017-03-31,122.3,$0.95,128.78
2016-12-31,103.33,$2.33,44.37
2016-09-30,100.92,$0.01,0.0
2015-12-31,80.72,$4.24,19.02
2015-09-30,80.0,$2.80,28.55
2015-06-30,94.68,$2.80,33.78
2015-03-31,91.22,$2.69,33.95
2014-12-31,97.36,$3.37,28.93
2014-06-30,84.21,$2.20,38.19
2014-03-31,83.43,$3.18,26.26
2013-12-31,83.73,$2.51,33.32
2013-09-30,88.26,$-1.32,0.0
2013-06-30,70.7,$1.52,46.43
2013-03-31,60.2,$-0.20,0.0
2012-12-31,57.01,$1.50,37.97
2012-09-30,49.51,$4.37,11.32
2012-06-30,47.43,$3.12,15.2
2012-03-31,45.7,$5.25,8.7
2011-12-31,38.09,$8.06,4.72
2011-09-30,31.48,$8.56,3.68
2011-06-30,33.69,$9.18,3.67
2011-03-31,40.0,$7.57,5.28
2010-12-31,34.46,$3.47,9.93
2010-09-30,26.72,$2.65,10.09
2010-06-30,24.69,$0.51,48.18
2010-03-31,31.82,$-0.02,0.0
2009-12-31,30.43,$-0.00,0.0
2009-09-30,26.4,$-0.21,0.0
2009-06-30,19.33,$0.97,19.94
