Fresenius Medical Care AG KGaA Price to Free Cash Flow Ratio Historical Data,Fresenius Medical Care AG KGaA Price to Free Cash Flow Ratio Historical Data,Fresenius Medical Care AG KGaA Price to Free Cash Flow Ratio Historical Data,Fresenius Medical Care AG KGaA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.04,,7.84
2024-06-30,19.09,$2.56,7.47
2024-03-31,18.74,$3.61,5.19
2023-12-31,20.25,$3.62,5.6
2023-09-30,20.94,$3.55,5.9
2023-06-30,23.26,$3.19,7.29
2023-03-31,20.14,$2.66,7.56
2022-12-31,15.48,$2.66,5.82
2022-09-30,13.3,$2.67,4.97
2022-06-30,23.62,$2.87,8.24
2022-03-31,31.15,$3.29,9.47
2021-12-31,30.02,$3.35,8.96
2021-09-30,32.34,$2.93,11.05
2021-06-30,38.44,$3.22,11.95
2021-03-31,33.43,$5.70,5.86
2020-12-31,37.68,$6.20,6.07
2020-09-30,38.51,$6.62,5.82
2020-06-30,38.58,$6.41,6.02
2020-03-31,29.24,$3.48,8.4
2019-12-31,32.83,$2.69,12.21
2019-09-30,29.94,$2.93,10.21
2019-06-30,35.01,$2.52,13.89
2019-03-31,35.53,$2.34,15.21
2018-12-31,28.39,$2.04,13.95
2018-09-30,45.07,$1.45,31.0
2018-06-30,44.13,$1.61,27.35
2018-03-31,44.24,$2.00,22.12
2017-12-31,45.51,$2.48,18.32
2017-09-30,42.34,$2.94,14.42
2017-06-30,41.86,$2.45,17.12
2017-03-31,36.07,$1.91,18.93
2016-12-31,36.14,$1.84,19.63
2016-09-30,37.48,$1.33,28.25
2016-06-30,37.31,$1.58,23.64
2016-03-31,37.35,$1.16,32.15
2015-12-31,35.45,$1.68,21.1
2015-09-30,33.05,$1.78,18.54
2015-06-30,35.24,$2.01,17.56
2015-03-31,34.77,$2.11,16.48
2014-12-31,31.16,$1.56,19.98
2014-09-30,29.11,$1.64,17.78
2014-06-30,28.1,$1.57,17.91
2014-03-31,28.77,$1.75,16.41
2013-12-31,29.38,$2.17,13.53
2013-09-30,26.73,$4.37,6.12
2013-06-30,29.12,$4.24,6.87
2013-03-31,27.56,$4.17,6.6
2012-12-31,27.92,$4.48,6.23
2012-09-30,29.88,$2.19,13.64
2012-06-30,28.73,$2.10,13.69
2012-03-31,28.38,$1.63,17.37
2011-12-31,27.31,$1.44,18.95
2011-09-30,27.13,$1.23,22.01
2011-06-30,30.01,$1.14,26.27
2011-03-31,26.77,$1.39,19.21
2010-12-31,22.88,$1.42,16.06
2010-09-30,24.48,$1.60,15.28
2010-06-30,21.29,$1.69,12.59
2010-03-31,21.9,$1.64,13.35
2009-12-31,20.67,$1.29,15.97
