Corporacion America Airports S.A Price to Free Cash Flow Ratio Historical Data,Corporacion America Airports S.A Price to Free Cash Flow Ratio Historical Data,Corporacion America Airports S.A Price to Free Cash Flow Ratio Historical Data,Corporacion America Airports S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.17,,6.74
2024-06-30,16.64,$2.70,6.17
2024-03-31,16.8,$2.80,6.0
2023-12-31,16.06,$2.15,7.45
2023-09-30,13.34,$2.64,5.05
2023-06-30,11.59,$2.21,5.24
2023-03-31,10.18,$1.93,5.27
2022-12-31,8.73,$1.83,4.78
2022-09-30,6.64,$1.49,4.46
2022-06-30,5.58,$1.25,4.46
2022-03-31,6.0,$0.91,6.57
2021-12-31,5.77,$0.63,9.18
2021-09-30,5.63,$0.32,17.47
2021-06-30,5.72,$0.01,0.0
2021-03-31,4.91,$-0.09,0.0
2020-12-31,3.99,$-0.05,0.0
2020-09-30,2.23,$0.05,40.84
2020-06-30,2.18,$-0.19,0.0
2020-03-31,1.85,$-0.18,0.0
2019-12-31,6.0,$-0.23,0.0
2019-09-30,4.53,$0.07,61.8
2019-06-30,8.07,$0.61,13.18
2019-03-31,8.27,$0.92,8.96
2018-12-31,6.63,$1.14,5.83
