Popular Price to Free Cash Flow Ratio Historical Data,Popular Price to Free Cash Flow Ratio Historical Data,Popular Price to Free Cash Flow Ratio Historical Data,Popular Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,102.56,,19.99
2024-06-30,87.87,$5.13,17.13
2024-03-31,86.92,$6.64,13.08
2023-12-31,80.39,$6.79,11.85
2023-09-30,61.21,$6.87,8.91
2023-06-30,58.3,$10.04,5.8
2023-03-31,54.77,$11.57,4.73
2022-12-31,62.6,$12.24,5.12
2022-09-30,67.46,$13.59,4.96
2022-06-30,71.49,$12.15,5.89
2022-03-31,75.45,$11.88,6.35
2021-12-31,75.2,$11.72,6.42
2021-09-30,70.79,$10.17,6.96
2021-06-30,67.99,$9.69,7.02
2021-03-31,63.35,$7.63,8.3
2020-12-31,50.46,$7.51,6.72
2020-09-30,32.25,$7.04,4.58
2020-06-30,32.71,$6.73,4.86
2020-03-31,30.49,$7.11,4.29
2019-12-31,50.37,$6.68,7.54
2019-09-30,46.12,$7.22,6.39
2019-06-30,46.0,$7.56,6.08
2019-03-31,43.96,$7.50,5.86
2018-12-31,39.6,$7.66,5.17
2018-09-30,42.77,$5.50,7.77
2018-06-30,37.55,$5.60,6.71
2018-03-31,34.38,$5.83,5.9
2017-12-31,29.15,$5.72,5.1
2017-09-30,29.32,$7.31,4.01
2017-06-30,33.82,$5.44,6.22
2017-03-31,32.8,$5.15,6.37
2016-12-31,35.08,$4.89,7.18
2016-09-30,30.49,$5.85,5.21
2016-06-30,23.28,$7.40,3.15
2016-03-31,22.63,$-0.72,0.0
2015-12-31,22.29,$-1.64,0.0
2015-09-30,23.65,$0.73,32.25
2015-06-30,22.46,$0.06,355.99
2014-12-31,26.5,$8.13,3.26
2014-09-30,22.91,$15.49,1.48
2014-06-30,26.6,$10.62,2.5
2014-03-31,24.12,$11.25,2.14
2013-12-31,22.36,$11.46,1.95
2015-03-31,26.77,$5.83,4.59
2013-09-30,20.43,$8.21,2.49
2013-06-30,23.64,$7.14,3.31
2013-03-31,21.48,$4.64,4.63
2012-12-31,16.18,$4.76,3.4
2012-09-30,13.58,$8.65,1.57
2012-06-30,12.93,$8.76,1.48
2012-03-31,15.96,$9.21,1.73
2011-12-31,10.82,$6.27,1.72
2011-09-30,11.68,$-1.37,0.0
2011-06-30,21.48,$-2.92,0.0
2011-03-31,22.73,$-1.81,0.0
2010-12-31,24.44,$1.25,19.53
2010-09-30,22.57,$1.54,14.63
2010-06-30,20.86,$3.40,6.13
2010-03-31,22.65,$16.41,1.38
2009-12-31,17.59,$14.69,1.2
