Tutor Perini Price to Free Cash Flow Ratio Historical Data,Tutor Perini Price to Free Cash Flow Ratio Historical Data,Tutor Perini Price to Free Cash Flow Ratio Historical Data,Tutor Perini Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.57,,4.19
2024-06-30,21.78,$6.57,3.31
2024-03-31,14.46,$6.61,2.19
2023-12-31,9.1,$5.12,1.78
2023-09-30,7.83,$1.62,4.83
2023-06-30,7.15,$1.03,6.97
2023-03-31,6.17,$1.08,5.74
2022-12-31,7.55,$3.04,2.49
2022-09-30,5.52,$4.08,1.35
2022-06-30,8.78,$2.40,3.66
2022-03-31,10.8,$-0.25,0.0
2021-12-31,12.37,$-3.50,0.0
2021-09-30,12.98,$-2.77,0.0
2021-06-30,13.85,$-0.81,0.0
2021-03-31,18.95,$2.39,7.93
2020-12-31,12.95,$2.59,4.99
2020-09-30,11.13,$2.21,5.03
2020-06-30,12.18,$4.77,2.55
2020-03-31,6.72,$3.18,2.11
2019-12-31,12.86,$1.29,9.95
2019-09-30,14.33,$1.93,7.43
2019-06-30,13.87,$-1.80,0.0
2019-03-31,17.12,$-1.95,0.0
2018-12-31,15.97,$-0.98,0.0
2018-09-30,18.8,$0.95,19.89
2018-06-30,18.45,$1.38,13.33
2018-03-31,22.05,$1.62,13.59
2017-12-31,25.35,$2.68,9.46
2017-09-30,28.4,$0.17,164.92
2017-06-30,28.75,$1.24,23.2
2017-03-31,31.8,$1.00,31.82
2016-12-31,28.0,$2.00,14.03
2016-09-30,21.47,$1.57,13.69
2016-06-30,23.55,$0.81,29.16
2016-03-31,15.54,$0.05,304.11
2015-12-31,16.74,$-0.34,0.0
2015-09-30,16.46,$0.80,20.47
2015-06-30,21.58,$-2.02,0.0
2015-03-31,23.35,$-1.74,0.0
2014-12-31,24.07,$-2.57,0.0
2014-09-30,26.4,$-2.37,0.0
2014-06-30,31.74,$-0.21,0.0
2014-03-31,28.67,$1.23,23.28
2013-12-31,26.3,$0.23,115.86
2013-09-30,21.32,$-2.01,0.0
2013-06-30,18.09,$-2.45,0.0
2013-03-31,19.3,$-3.37,0.0
2012-12-31,13.7,$-2.05,0.0
2012-09-30,11.44,$0.43,26.4
2012-06-30,12.67,$-0.54,0.0
2012-03-31,15.58,$-1.35,0.0
2011-12-31,12.34,$-1.84,0.0
2011-09-30,11.49,$-2.22,0.0
2011-06-30,19.18,$-2.29,0.0
2011-03-31,24.36,$0.18,138.96
2010-12-31,21.41,$0.04,483.3
2010-09-30,19.25,$-0.75,0.0
2010-06-30,15.79,$0.08,207.22
2010-03-31,20.84,$-1.47,0.0
2009-12-31,17.32,$-1.24,0.0
