Owens & Minor Price to Free Cash Flow Ratio Historical Data,Owens & Minor Price to Free Cash Flow Ratio Historical Data,Owens & Minor Price to Free Cash Flow Ratio Historical Data,Owens & Minor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.06,,4.33
2024-06-30,13.5,$3.25,4.15
2024-03-31,27.71,$5.83,4.75
2023-12-31,19.27,$8.20,2.35
2023-09-30,16.16,$7.86,2.05
2023-06-30,19.04,$6.81,2.8
2023-03-31,14.55,$3.63,4.01
2022-12-31,19.53,$2.82,6.91
2022-09-30,24.1,$3.21,7.52
2022-06-30,31.45,$2.30,13.69
2022-03-31,44.02,$2.02,21.75
2021-12-31,43.5,$1.60,27.19
2021-06-30,42.32,$2.20,19.25
2021-03-31,37.58,$3.37,11.15
2020-12-31,27.04,$4.55,5.95
2020-09-30,25.1,$2.63,9.54
2020-06-30,7.62,$1.14,6.66
2020-03-31,9.14,$1.95,4.69
2021-09-30,31.29,$1.82,17.17
2019-12-31,5.16,$2.04,2.53
2019-09-30,5.8,$1.50,3.87
2019-06-30,3.19,$0.90,3.54
2019-03-31,4.09,$-0.18,0.0
2018-12-31,6.31,$1.21,5.23
2018-09-30,16.27,$2.20,7.39
2018-06-30,16.2,$2.47,6.57
2018-03-31,14.84,$-2.26,0.0
2017-12-31,17.74,$-1.84,0.0
2017-09-30,27.06,$-0.94,0.0
2017-06-30,29.57,$-2.36,0.0
2016-12-31,31.93,$2.83,11.29
2016-09-30,31.2,$6.84,4.56
2016-06-30,33.32,$4.66,7.16
2016-03-31,35.79,$4.03,8.87
2015-12-31,31.66,$4.51,7.02
2017-03-31,31.53,$2.48,12.74
2015-09-30,27.9,$1.52,18.4
2015-06-30,29.48,$2.18,13.51
2015-03-31,29.13,$0.37,78.41
2014-12-31,30.0,$-0.84,0.0
2014-09-30,27.77,$0.36,76.16
2014-06-30,28.61,$0.01,2184.3
2014-03-31,29.28,$0.88,33.35
2013-12-31,30.35,$1.84,16.47
2013-09-30,28.52,$2.94,9.7
2013-06-30,27.7,$3.79,7.32
2013-03-31,26.47,$4.17,6.35
2012-12-31,23.01,$3.37,6.82
2012-09-30,23.92,$1.92,12.49
2012-06-30,24.34,$2.41,10.08
2012-03-31,23.98,$1.64,14.66
2011-12-31,21.75,$0.73,29.84
2011-09-30,22.13,$0.16,141.61
2011-06-30,26.62,$-0.35,0.0
2011-03-31,24.91,$0.35,70.5
2010-12-31,22.43,$1.85,12.11
2010-09-30,21.55,$4.00,5.39
2010-06-30,21.35,$4.12,5.18
2010-03-31,22.99,$4.15,5.55
2009-12-31,21.15,$3.26,6.49
