Equinox Gold Price to Free Cash Flow Ratio Historical Data,Equinox Gold Price to Free Cash Flow Ratio Historical Data,Equinox Gold Price to Free Cash Flow Ratio Historical Data,Equinox Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.44,,0.0
2024-06-30,5.23,$-0.72,0.0
2024-03-31,6.02,$-0.83,0.0
2023-12-31,4.89,$-0.52,0.0
2023-09-30,4.23,$-0.80,0.0
2023-06-30,4.58,$-0.87,0.0
2023-03-31,5.15,$-0.96,0.0
2022-12-31,3.28,$-1.47,0.0
2022-09-30,3.65,$-1.02,0.0
2022-06-30,4.44,$-0.75,0.0
2022-03-31,8.27,$-0.29,0.0
2021-12-31,6.76,$0.20,33.65
2021-09-30,6.6,$0.01,0.0
2021-06-30,6.95,$0.12,58.45
2021-03-31,7.99,$0.22,36.63
2020-12-31,10.34,$0.36,28.55
2020-09-30,11.71,$0.42,27.91
2020-06-30,11.22,$0.35,32.36
