Grupo Televisa S.A Price to Free Cash Flow Ratio Historical Data,Grupo Televisa S.A Price to Free Cash Flow Ratio Historical Data,Grupo Televisa S.A Price to Free Cash Flow Ratio Historical Data,Grupo Televisa S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.38,,1.42
2024-06-30,2.77,$1.68,1.65
2024-03-31,3.2,$0.80,4.01
2023-12-31,3.34,$0.05,60.95
2023-09-30,3.05,$0.33,9.21
2023-06-30,5.13,$0.22,23.13
2023-03-31,5.18,$0.51,10.22
2022-12-31,4.47,$-0.40,0.0
2022-09-30,5.27,$-0.45,0.0
2022-06-30,8.01,$-0.91,0.0
2022-03-31,11.36,$-0.91,0.0
2021-12-31,9.09,$0.55,16.52
2021-09-30,10.66,$0.57,18.55
2021-06-30,13.86,$1.42,9.76
2021-03-31,8.54,$1.27,6.75
2020-09-30,5.96,$1.56,3.82
2020-03-31,5.59,$1.60,3.49
2019-12-31,11.31,$0.79,14.39
2019-09-30,9.43,$1.45,6.51
2019-06-30,8.14,$1.08,7.51
2019-03-31,10.57,$1.13,9.34
2018-12-31,12.02,$1.74,6.91
2018-09-30,16.95,$1.68,10.09
2018-06-30,18.1,$1.71,10.62
2018-03-31,15.17,$1.22,12.42
2017-12-31,17.74,$0.95,18.62
2017-09-30,23.45,$0.93,25.19
2017-06-30,23.16,$0.91,25.37
2017-03-31,24.56,$0.54,45.54
2016-12-31,19.78,$1.07,18.47
2016-09-30,24.32,$0.78,31.05
2016-06-30,24.66,$-0.63,0.0
2016-03-31,25.91,$-0.45,0.0
2015-12-31,25.67,$0.69,37.16
2015-09-30,24.55,$1.06,23.11
2015-06-30,36.63,$1.65,22.21
2015-03-31,31.05,$2.81,11.07
2014-12-31,32.04,$1.50,21.41
2014-09-30,31.87,$1.58,20.19
2014-06-30,32.28,$2.44,13.24
2014-03-31,31.32,$1.48,21.22
2013-12-31,28.47,$1.26,22.66
2013-09-30,26.17,$1.28,20.37
2013-06-30,23.26,$1.33,17.43
2013-03-31,24.78,$1.46,16.99
2012-12-31,24.75,$1.67,14.83
2012-09-30,21.89,$1.91,11.48
2012-06-30,20.0,$2.03,9.85
2012-03-31,19.5,$1.98,9.87
2011-12-31,19.49,$1.97,9.89
2011-09-30,17.02,$1.49,11.45
2011-06-30,22.76,$1.49,15.23
2011-03-31,22.55,$1.32,17.13
2010-12-31,23.84,$0.92,25.83
2010-09-30,17.39,$0.85,20.36
2010-06-30,16.0,$0.77,20.88
2010-03-31,19.32,$0.70,27.63
2009-12-31,19.08,$1.12,17.1
