Mirum Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Mirum Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Mirum Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Mirum Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.32,,0.0
2024-06-30,34.19,$-0.56,0.0
2024-03-31,25.12,$-0.91,0.0
2023-12-31,29.52,$-1.74,0.0
2023-09-30,31.6,$-2.41,0.0
2023-06-30,25.87,$-2.63,0.0
2023-03-31,24.02,$-2.78,0.0
2022-12-31,19.5,$-3.54,0.0
2022-09-30,21.01,$-3.56,0.0
2022-06-30,19.46,$-5.40,0.0
2022-03-31,22.02,$-5.65,0.0
2021-12-31,15.95,$-5.81,0.0
2021-09-30,19.92,$-5.40,0.0
2021-03-31,19.82,$-3.63,0.0
2020-12-31,17.46,$-3.54,0.0
2020-09-30,19.27,$-4.12,0.0
2020-06-30,19.46,$-2.71,0.0
2020-03-31,14.0,$-4.20,0.0
