Ferguson Price to Free Cash Flow Ratio Historical Data,Ferguson Price to Free Cash Flow Ratio Historical Data,Ferguson Price to Free Cash Flow Ratio Historical Data,Ferguson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,205.1,,202.19
2024-04-30,209.9,$1.01,206.92
2024-01-31,187.86,$0.98,191.03
2023-10-31,150.2,$1.14,132.09
2023-07-31,161.62,$1.10,146.74
2023-04-30,140.82,$0.87,162.1
2023-01-31,142.34,$3.67,38.8
2022-10-31,109.26,$0.58,186.93
2022-07-31,126.08,$-27.53,0.0
2022-04-30,124.71,$0.22,559.49
