Sunstone Hotel Investors Price to Free Cash Flow Ratio Historical Data,Sunstone Hotel Investors Price to Free Cash Flow Ratio Historical Data,Sunstone Hotel Investors Price to Free Cash Flow Ratio Historical Data,Sunstone Hotel Investors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.4,,11.4
2024-06-30,10.37,$0.91,11.37
2024-03-31,10.95,$2.07,5.3
2023-12-31,10.48,$2.15,4.88
2023-09-30,9.02,$0.52,17.27
2023-06-30,9.7,$-0.52,0.0
2022-12-31,9.16,$0.19,49.2
2022-09-30,8.89,$0.11,81.17
2022-06-30,9.31,$-0.00,0.0
2022-03-31,11.06,$0.01,891.6
2021-12-31,11.01,$-1.00,0.0
2021-09-30,11.21,$-0.80,0.0
2021-06-30,11.66,$-0.74,0.0
2021-03-31,11.69,$-0.13,0.0
2020-12-31,10.63,$-0.01,0.0
2020-09-30,7.45,$0.22,34.29
2020-06-30,7.65,$0.39,19.52
2020-03-31,8.17,$0.96,8.52
2019-12-31,12.99,$1.08,12.02
2019-09-30,12.3,$1.36,9.05
2019-06-30,12.23,$1.63,7.51
2019-03-31,12.8,$1.58,8.1
2018-12-31,11.52,$2.12,5.43
2018-09-30,13.91,$1.56,8.9
2018-06-30,14.09,$0.52,27.04
2018-03-31,12.86,$0.72,17.84
2017-12-31,13.93,$0.76,18.37
2017-09-30,13.08,$0.65,20.08
2017-06-30,13.08,$1.36,9.62
2017-03-31,12.41,$1.32,9.4
2016-12-31,12.3,$0.68,17.96
2016-09-30,9.97,$3.22,3.09
2016-06-30,9.37,$3.53,2.65
2016-03-31,10.82,$3.39,3.19
2015-12-31,9.62,$3.43,2.81
2015-09-30,10.19,$1.01,10.12
2015-06-30,11.52,$-0.54,0.0
2015-03-31,12.75,$-0.65,0.0
2014-12-31,12.59,$-0.62,0.0
2014-09-30,10.32,$-2.34,0.0
2014-06-30,11.1,$-1.90,0.0
2014-03-31,10.18,$-2.35,0.0
2013-12-31,9.9,$-1.25,0.0
2013-09-30,9.37,$0.32,29.02
2013-06-30,8.85,$0.78,11.39
2013-03-31,9.02,$1.08,8.34
2012-12-31,7.85,$-0.09,0.0
2012-09-30,8.06,$0.03,234.38
2012-06-30,8.06,$0.44,18.34
2012-03-31,7.14,$-0.48,0.0
2011-12-31,5.97,$-1.40,0.0
2011-09-30,4.17,$-1.65,0.0
2011-06-30,6.79,$-3.18,0.0
2011-03-31,7.47,$-2.36,0.0
2010-12-31,7.57,$-1.55,0.0
2010-09-30,6.65,$-1.42,0.0
2010-06-30,7.28,$-0.04,0.0
2010-03-31,8.19,$1.07,7.62
2009-12-31,6.51,$1.21,5.36
2009-09-30,5.2,$1.25,4.15
