ArcelorMittal Price to Free Cash Flow Ratio Historical Data,ArcelorMittal Price to Free Cash Flow Ratio Historical Data,ArcelorMittal Price to Free Cash Flow Ratio Historical Data,ArcelorMittal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.89,,14.54
2024-06-30,22.93,$1.64,13.95
2024-03-31,27.32,$2.78,9.84
2023-12-31,28.12,$4.44,6.34
2023-09-30,24.55,$3.70,6.63
2023-06-30,26.81,$5.03,5.34
2023-03-31,29.3,$5.93,4.94
2022-12-31,25.5,$7.47,3.41
2022-09-30,19.37,$7.87,2.46
2022-06-30,21.98,$8.06,2.73
2022-03-31,30.71,$7.46,4.12
2021-12-31,30.54,$6.22,4.91
2021-09-30,28.93,$4.21,6.87
2021-06-30,29.8,$3.59,8.3
2021-03-31,27.73,$2.01,13.77
2020-12-31,21.77,$1.44,15.1
2020-09-30,12.6,$2.82,4.47
2020-06-30,10.2,$1.17,8.73
2020-03-31,8.87,$2.14,4.15
2019-12-31,16.67,$2.41,6.91
2019-09-30,13.54,$1.38,9.8
2019-06-30,17.14,$1.84,9.31
2019-03-31,19.15,$1.54,12.44
2018-12-31,19.42,$0.94,20.74
2018-09-30,28.99,$1.69,17.21
2018-06-30,27.04,$1.95,13.85
2018-03-31,29.8,$1.98,15.02
2017-12-31,30.27,$1.70,17.77
2017-09-30,24.13,$0.92,26.19
2017-06-30,21.3,$0.13,159.75
2017-03-31,23.47,$1.72,13.61
2016-12-31,20.52,$0.45,45.68
2016-09-30,16.98,$0.73,23.19
2016-06-30,13.1,$1.58,8.31
2016-03-31,12.87,$0.15,88.71
2015-12-31,11.86,$-0.50,0.0
2015-09-30,14.47,$0.18,80.59
2015-06-30,27.32,$-0.75,0.0
2015-03-31,25.97,$-0.25,0.0
2014-12-31,30.41,$0.28,108.99
2014-09-30,37.74,$1.98,19.1
2014-06-30,41.16,$0.62,66.32
2014-03-31,43.97,$2.14,20.58
2013-12-31,48.57,$2.28,21.27
2013-09-30,37.22,$2.91,12.78
2013-06-30,30.49,$2.06,14.8
2013-03-31,34.94,$1.43,24.35
2012-12-31,46.85,$2.10,22.27
2012-09-30,38.24,$8.83,4.33
2012-06-30,39.96,$10.73,3.72
2012-03-31,49.43,$5.79,8.54
2011-12-31,46.59,$2.72,17.14
2011-09-30,40.32,$-0.97,0.0
2011-06-30,87.25,$-0.16,0.0
2011-03-31,90.22,$2.19,41.28
2010-12-31,94.69,$4.33,21.86
2010-09-30,81.45,$-3.71,0.0
2010-06-30,65.68,$-0.25,0.0
2010-03-31,107.11,$2.72,39.42
2009-12-31,111.07,$3.94,28.22
