Dycom Industries Price to Free Cash Flow Ratio Historical Data,Dycom Industries Price to Free Cash Flow Ratio Historical Data,Dycom Industries Price to Free Cash Flow Ratio Historical Data,Dycom Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,196.3,,123.52
2024-07-31,183.51,$1.59,115.47
2024-04-30,140.02,$4.28,32.71
2024-01-31,111.7,$2.55,43.81
2023-10-31,85.18,$-0.49,0.0
2023-07-31,99.58,$0.89,111.55
2023-04-30,92.62,$-9.70,0.0
2023-01-31,95.37,$-2.42,0.0
2022-10-31,118.18,$-6.59,0.0
2022-07-31,103.16,$-5.39,0.0
2022-01-31,84.29,$5.09,16.56
2021-10-31,79.42,$15.55,5.11
2021-07-31,69.4,$10.33,6.72
2021-04-30,93.81,$14.22,6.6
2021-01-31,81.14,$16.26,4.99
2022-04-30,84.91,$4.62,18.39
2020-10-31,64.94,$13.40,4.85
2020-07-31,42.83,$8.88,4.82
2020-04-30,32.6,$3.72,8.76
2020-01-31,40.42,$-1.37,0.0
2019-10-31,45.59,$-3.47,0.0
2019-07-31,55.16,$-5.35,0.0
2019-04-30,49.59,$-3.46,0.0
2019-01-31,58.05,$-0.55,0.0
2018-10-31,67.88,$-1.18,0.0
2018-07-31,89.16,$2.23,39.95
2018-04-30,103.86,$2.74,37.9
2017-10-31,87.83,$5.00,17.56
2017-07-31,90.6,$-0.26,0.0
2017-04-30,105.66,$1.03,102.31
2017-01-31,80.66,$-0.26,0.0
2016-10-31,76.93,$-1.69,0.0
2016-07-31,94.05,$-1.24,0.0
2016-04-30,70.6,$-4.38,0.0
2016-01-31,66.26,$-1.24,0.0
2015-10-31,76.09,$-0.48,0.0
2015-07-31,66.06,$1.38,47.82
2015-04-30,45.98,$1.86,24.66
2015-01-31,30.81,$1.38,22.31
2014-10-31,31.39,$1.89,16.65
2014-07-31,28.12,$0.70,40.33
2014-04-30,31.4,$0.26,119.26
2014-01-31,27.83,$0.70,39.92
2013-10-31,29.65,$0.09,335.79
2013-07-31,26.48,$1.94,13.64
2013-04-30,19.32,$2.67,7.25
2013-01-31,20.98,$1.94,10.81
2012-10-31,14.24,$1.41,10.07
2012-07-31,17.42,$1.05,16.6
2012-04-30,23.39,$0.97,24.14
2012-01-31,21.37,$1.05,20.36
2011-10-31,19.43,$0.35,55.42
2011-07-31,17.04,$-0.23,0.0
2011-04-30,14.86,$1.04,14.28
2010-10-31,10.7,$0.61,17.45
2010-07-31,9.05,$0.82,11.01
2010-04-30,10.62,$-0.64,0.0
2010-01-31,8.17,$0.82,9.94
2009-10-31,9.88,$-1.08,0.0
2009-07-31,12.73,$-0.90,0.0
2009-04-30,8.42,$1.90,4.43
