Novavax Price to Free Cash Flow Ratio Historical Data,Novavax Price to Free Cash Flow Ratio Historical Data,Novavax Price to Free Cash Flow Ratio Historical Data,Novavax Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.35,,0.0
2024-06-30,12.66,$-1.25,0.0
2024-03-31,4.78,$-4.26,0.0
2023-12-31,4.8,$-7.62,0.0
2023-09-30,7.24,$-7.44,0.0
2023-06-30,7.43,$-7.65,0.0
2023-03-31,6.93,$-9.16,0.0
2022-12-31,10.28,$-6.46,0.0
2022-09-30,18.2,$-9.40,0.0
2022-06-30,51.43,$-10.75,0.0
2022-03-31,73.65,$-6.59,0.0
2021-12-31,143.07,$3.61,39.65
2021-09-30,207.31,$5.47,37.88
2021-06-30,212.31,$7.31,29.06
2021-03-31,181.31,$7.73,23.46
2020-12-31,111.51,$-1.69,0.0
2020-09-30,108.35,$0.91,118.43
2020-06-30,83.35,$0.02,5209.38
2020-03-31,13.58,$-2.99,0.0
2019-12-31,3.98,$-4.99,0.0
2019-09-30,5.02,$-7.43,0.0
2019-06-30,5.86,$-7.89,0.0
2019-03-31,11.02,$-8.66,0.0
2018-12-31,36.8,$-10.07,0.0
2018-09-30,37.6,$-10.45,0.0
2018-06-30,26.8,$-11.65,0.0
2018-03-31,42.0,$-10.77,0.0
2017-12-31,24.8,$-10.16,0.0
2017-09-30,22.8,$-12.08,0.0
2017-06-30,23.0,$-14.08,0.0
2017-03-31,25.6,$-18.20,0.0
2016-12-31,25.2,$-20.46,0.0
2016-09-30,41.6,$-20.14,0.0
2016-06-30,145.4,$-17.68,0.0
2016-03-31,103.2,$-13.66,0.0
2015-12-31,167.8,$-11.01,0.0
2015-09-30,141.6,$-8.51,0.0
2015-06-30,222.8,$-7.40,0.0
2015-03-31,165.4,$-7.46,0.0
2014-12-31,118.6,$-6.57,0.0
2014-09-30,83.4,$-5.90,0.0
2014-06-30,92.4,$-6.28,0.0
2014-03-31,90.6,$-6.43,0.0
2013-12-31,102.4,$-6.02,0.0
2013-09-30,63.0,$-5.35,0.0
2013-06-30,41.0,$-4.40,0.0
2013-03-31,45.6,$-4.18,0.0
2012-12-31,37.8,$-3.38,0.0
2012-09-30,43.2,$-3.10,0.0
2012-06-30,31.2,$-2.92,0.0
2012-03-31,25.2,$-3.46,0.0
2011-12-31,25.2,$-4.27,0.0
2011-09-30,32.0,$-4.93,0.0
2011-06-30,40.4,$-5.83,0.0
2011-03-31,51.8,$-6.20,0.0
2010-12-31,48.6,$-6.57,0.0
2010-09-30,43.8,$-8.66,0.0
2010-06-30,43.4,$-8.39,0.0
2010-03-31,46.2,$-7.88,0.0
2009-12-31,53.2,$-7.85,0.0
