Flex LNG Price to Free Cash Flow Ratio Historical Data,Flex LNG Price to Free Cash Flow Ratio Historical Data,Flex LNG Price to Free Cash Flow Ratio Historical Data,Flex LNG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.45,,7.52
2024-06-30,26.29,$3.38,7.77
2024-03-31,24.07,$3.26,7.38
2023-12-31,26.71,$3.24,8.24
2023-09-30,26.94,$3.23,8.33
2023-06-30,26.62,$3.72,7.15
2023-03-31,28.58,$3.94,7.26
2022-12-31,27.01,$4.11,6.58
2022-09-30,25.66,$4.61,5.57
2022-06-30,21.34,$4.08,5.22
2022-03-31,21.61,$1.57,13.77
2021-12-31,17.25,$-0.96,0.0
2021-09-30,12.76,$-4.29,0.0
2021-06-30,10.18,$-12.38,0.0
2021-03-31,6.0,$-10.76,0.0
2020-12-31,5.68,$-8.78,0.0
2020-09-30,3.68,$-6.26,0.0
2020-06-30,2.96,$-1.50,0.0
2020-03-31,3.25,$-4.17,0.0
