Amedisys Price to Free Cash Flow Ratio Historical Data,Amedisys Price to Free Cash Flow Ratio Historical Data,Amedisys Price to Free Cash Flow Ratio Historical Data,Amedisys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,96.74,,35.55
2024-06-30,91.8,$2.72,33.73
2024-03-31,92.16,$3.01,30.65
2023-12-31,95.06,$4.04,23.53
2023-09-30,93.4,$3.42,27.28
2023-06-30,91.44,$3.32,27.58
2023-03-31,73.55,$3.19,23.05
2022-12-31,83.54,$3.90,21.45
2022-09-30,96.79,$2.81,34.46
2022-06-30,105.12,$5.09,20.64
2022-03-31,172.29,$5.42,31.79
2021-12-31,161.88,$5.54,29.21
2021-09-30,149.1,$7.34,20.3
2021-06-30,244.93,$7.98,30.69
2021-03-31,264.79,$9.97,26.56
2020-12-31,293.33,$8.53,34.4
2020-09-30,236.43,$8.87,26.67
2020-06-30,198.54,$7.73,25.69
2020-03-31,183.54,$5.47,33.58
2019-12-31,166.92,$5.90,28.28
2019-09-30,131.01,$5.43,24.14
2019-06-30,121.41,$6.19,19.6
2019-03-31,123.26,$5.93,20.79
2018-12-31,117.11,$6.48,18.08
2018-09-30,124.96,$5.62,22.23
2018-06-30,85.46,$3.78,22.6
2018-03-31,60.34,$3.25,18.55
2017-12-31,52.71,$2.80,18.86
2017-09-30,55.96,$2.66,21.02
2017-06-30,62.81,$2.50,25.09
2017-03-31,51.09,$1.89,27.07
2016-12-31,42.63,$1.39,30.75
2016-09-30,47.44,$1.75,27.1
2016-06-30,50.48,$2.49,20.24
2016-03-31,48.34,$5.75,8.4
2015-12-31,39.32,$5.65,6.96
2015-09-30,37.97,$5.28,7.19
2015-06-30,39.73,$1.61,24.68
2014-12-31,29.35,$-2.37,0.0
2014-09-30,20.17,$-0.82,0.0
2014-06-30,16.74,$-1.22,0.0
2014-03-31,14.89,$2.21,6.75
2013-12-31,14.63,$3.34,4.39
2015-03-31,26.78,$2.45,10.95
2013-09-30,17.21,$2.07,8.32
2013-06-30,11.6,$1.80,6.45
2013-03-31,11.12,$1.43,7.76
2012-12-31,11.31,$0.74,15.24
2012-09-30,13.82,$1.83,7.54
2012-06-30,12.45,$2.06,6.04
2012-03-31,14.46,$2.16,6.69
2011-12-31,10.91,$3.41,3.2
2011-09-30,14.82,$2.58,5.75
2011-06-30,26.63,$3.23,8.25
2011-03-31,35.0,$4.21,8.31
2010-12-31,33.5,$5.09,6.58
2010-09-30,23.8,$5.53,4.31
2010-06-30,43.98,$7.06,6.23
2010-03-31,55.22,$8.07,6.85
2009-12-31,48.6,$7.65,6.35
