Evertec Price to Free Cash Flow Ratio Historical Data,Evertec Price to Free Cash Flow Ratio Historical Data,Evertec Price to Free Cash Flow Ratio Historical Data,Evertec Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.45,,10.57
2024-06-30,33.2,$3.16,10.49
2024-03-31,39.79,$2.77,14.34
2023-12-31,40.78,$3.08,13.23
2023-09-30,36.98,$2.94,12.58
2023-06-30,36.58,$2.84,12.88
2023-03-31,33.47,$2.75,12.17
2022-12-31,32.07,$2.83,11.32
2022-09-30,31.01,$2.68,11.59
2022-06-30,36.43,$3.04,12.0
2022-03-31,40.38,$3.24,12.46
2021-12-31,49.25,$2.80,17.58
2021-09-30,45.0,$3.27,13.76
2021-06-30,42.91,$2.81,15.26
2021-03-31,36.55,$2.49,14.7
2020-12-31,38.56,$2.49,15.48
2020-09-30,33.99,$2.05,16.54
2020-06-30,27.47,$2.42,11.34
2020-03-31,22.18,$2.23,9.97
2019-12-31,33.16,$2.14,15.51
2019-09-30,30.36,$2.10,14.45
2019-06-30,31.76,$2.02,15.75
2019-03-31,27.01,$2.11,12.82
2018-12-31,27.82,$2.13,13.04
2018-09-30,23.32,$2.07,11.28
2018-06-30,21.1,$1.89,11.16
2018-03-31,15.79,$1.89,8.34
2017-12-31,13.18,$1.85,7.14
2017-09-30,15.31,$1.89,8.09
2017-06-30,16.62,$2.10,7.91
2017-03-31,15.18,$1.93,7.86
2016-12-31,16.84,$2.01,8.38
2016-09-30,15.82,$1.92,8.26
2016-06-30,14.57,$1.76,8.27
2016-03-31,13.01,$1.85,7.04
2015-12-31,15.45,$1.83,8.43
2015-09-30,16.57,$1.82,9.08
2015-06-30,19.38,$1.71,11.35
2015-03-31,19.86,$1.65,12.05
2014-12-31,20.01,$1.63,12.24
2014-09-30,20.1,$1.79,11.26
2014-06-30,21.72,$1.68,12.92
2014-03-31,22.03,$1.01,21.91
