Hello Group Price to Free Cash Flow Ratio Historical Data,Hello Group Price to Free Cash Flow Ratio Historical Data,Hello Group Price to Free Cash Flow Ratio Historical Data,Hello Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.51,,8.09
2024-06-30,6.12,$0.80,7.61
2024-03-31,5.66,$1.13,5.0
2023-12-31,6.33,$1.19,5.31
2023-09-30,6.36,$1.48,4.31
2023-06-30,8.76,$1.49,5.86
2023-03-31,7.59,$1.08,7.02
2022-12-31,7.49,$0.78,9.55
2022-09-30,3.85,$0.97,3.99
2022-06-30,4.21,$1.08,3.9
2022-03-31,4.28,$0.83,5.17
2021-12-31,6.65,$1.14,5.86
2021-09-30,7.84,$1.33,5.91
2021-06-30,11.34,$1.41,8.07
2021-03-31,10.47,$2.01,5.2
2020-12-31,9.91,$2.00,4.94
2020-09-30,9.77,$2.37,4.12
2020-06-30,12.41,$2.52,4.92
2020-03-31,14.9,$2.88,5.17
2019-12-31,23.01,$3.35,6.87
2019-09-30,21.28,$2.91,7.31
2019-06-30,24.59,$2.41,10.2
2019-03-31,25.86,$2.28,11.33
2018-12-31,16.06,$2.07,7.75
2018-09-30,29.62,$1.92,15.43
2018-06-30,29.42,$2.27,12.99
2018-03-31,25.28,$2.05,12.32
2017-12-31,16.55,$1.90,8.69
2017-09-30,21.19,$1.91,11.13
2017-06-30,24.99,$1.73,14.42
2017-03-31,23.04,$1.44,15.95
2016-12-31,12.43,$1.04,11.97
2016-09-30,15.22,$0.65,23.44
2016-06-30,6.84,$0.38,17.86
2016-03-31,7.6,$0.21,36.53
2015-12-31,10.83,$0.22,49.72
2015-09-30,8.45,$-0.19,0.0
