NCino Price to Free Cash Flow Ratio Historical Data,NCino Price to Free Cash Flow Ratio Historical Data,NCino Price to Free Cash Flow Ratio Historical Data,NCino Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.22,,58.32
2024-07-31,32.76,$0.62,52.75
2024-04-30,29.16,$0.68,42.58
2024-01-31,31.48,$0.47,66.36
2023-10-31,28.1,$0.17,170.1
2023-07-31,32.35,$0.04,869.62
2023-04-30,24.73,$-0.02,0.0
2023-01-31,28.6,$-0.31,0.0
2022-10-31,31.48,$-0.31,0.0
2022-07-31,32.29,$-0.45,0.0
2022-04-30,37.49,$-0.36,0.0
2022-01-31,45.83,$-0.26,0.0
2021-10-31,72.66,$-0.15,0.0
2021-07-31,63.57,$-0.08,0.0
2021-04-30,65.39,$0.13,502.23
