International Seaways Price to Free Cash Flow Ratio Historical Data,International Seaways Price to Free Cash Flow Ratio Historical Data,International Seaways Price to Free Cash Flow Ratio Historical Data,International Seaways Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.08,,5.18
2024-06-30,57.33,$9.48,6.04
2024-03-31,50.09,$8.26,6.06
2023-12-31,41.75,$9.12,4.58
2023-09-30,40.13,$7.10,5.65
2023-06-30,32.96,$5.66,5.82
2022-12-31,29.19,$5.42,5.38
2022-09-30,26.9,$-1.26,0.0
2022-06-30,16.18,$1.08,14.96
2022-03-31,13.69,$1.56,8.75
2021-12-31,11.1,$1.57,7.06
2023-03-31,34.36,$3.92,8.77
2021-09-30,13.73,$2.93,4.68
2021-06-30,13.52,$3.37,4.01
2021-03-31,13.62,$6.76,2.01
2020-12-31,11.44,$8.41,1.36
2020-09-30,10.2,$6.49,1.57
2020-06-30,11.37,$4.14,2.75
2020-03-31,16.57,$2.33,7.12
2019-12-31,20.58,$2.26,9.1
2019-09-30,13.32,$1.93,6.89
2019-06-30,13.14,$1.59,8.24
2019-03-31,11.86,$-0.81,0.0
2018-12-31,11.65,$0.23,50.12
2018-09-30,13.85,$-1.34,0.0
2018-06-30,16.01,$-4.31,0.0
2018-03-31,12.17,$-3.36,0.0
2017-12-31,12.77,$-4.74,0.0
2017-09-30,13.63,$0.90,15.17
